algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,42,1,random,5370465.03940621,3943527.8007849925,806405342.0955797,71.3122734378755,0.099609375,242.80773305892944,0,P2,512x512,6,64,1,1,2,2x2,1,40,"{""accuracy_violation"": 0.780390625}"
random,42,2,random,14379162.483616222,8819197.425288975,3191013177.435408,1216.8754617024988,0.099609375,588.7618069648743,0,P0,128x128,6,128,1,1,4,4x4,2,40,"{""accuracy_violation"": 0.780390625}"
random,42,3,random,10481166.528073765,1574917.2081730494,3535253138.9269333,47.273997348147226,0.099609375,220.02764987945557,0,P0,512x512,7,128,1,1,4,8x8,0,80,"{""accuracy_violation"": 0.780390625}"
random,42,4,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.939453125,201.82960891723633,1,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,5,random,8448704.031956494,660743.0108614445,1454303896.7855663,4.733286649333018,0.111328125,307.431272983551,0,P3,256x256,8,64,2,1,4,4x4,2,10,"{""accuracy_violation"": 0.768671875}"
random,42,6,random,10533049.72807377,1566016.2360366941,3535253138.9269333,46.38206751566722,0.111328125,219.1697371006012,0,P4,512x512,7,128,1,1,4,8x8,2,20,"{""accuracy_violation"": 0.768671875}"
random,42,7,random,16262945.769408964,9245404.061644342,870600717.7711326,81.28617585375183,0.099609375,221.48492097854614,0,P2,512x512,4,32,1,0,2,4x4,1,80,"{""accuracy_violation"": 0.780390625}"
random,42,8,random,28154409.458937343,6674812.957325197,2062231154.1340282,44.2651282237103,0.109375,194.71501517295837,0,P4,512x512,7,64,2,0,1,8x8,3,10,"{""accuracy_violation"": 0.770625}"
random,42,9,random,15659093.533616526,10534362.375328988,2354953730.7135515,856.6961364296048,0.916015625,780.5811359882355,0,P1,128x128,4,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,42,10,random,48107582.663695194,22244869.760856073,2941409837.4369035,1055.1796055176794,0.111328125,786.549455165863,0,P3,128x128,6,128,1,1,2,8x8,0,10,"{""accuracy_violation"": 0.768671875}"
random,42,11,random,4430024.989793121,17054874.0659343,2426702222.653233,838.9382624293112,0.9453125,524.2151250839233,1,P1,128x128,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,12,random,11592415.237310318,4006466.8011197746,3536081285.793072,45.989774080164025,0.099609375,214.0082929134369,0,P0,512x512,7,32,1,0,4,8x8,0,40,"{""accuracy_violation"": 0.780390625}"
random,42,13,random,21235348.86265422,6690089.28849675,2153487841.8071036,72.55082217642226,0.248046875,302.12668204307556,0,P4,256x256,7,64,2,1,2,8x8,0,10,"{""accuracy_violation"": 0.631953125}"
random,42,14,random,5587222.046760553,5218098.155018016,1077743399.0350747,263.0363228637917,0.099609375,342.5762071609497,0,P2,256x256,6,128,1,1,2,2x2,1,20,"{""accuracy_violation"": 0.780390625}"
random,42,15,random,5955929.972894401,3243675.627901471,1193630738.4700177,58.85769479487148,0.94921875,333.12558102607727,1,P0,256x256,7,32,2,1,4,2x2,2,10,"{""accuracy_violation"": 0.0}"
random,42,16,random,5700898.518007349,23974617.907421406,2033449917.148683,1174.4303115796279,0.111328125,972.5000410079956,0,P4,128x128,4,32,1,1,4,2x2,1,20,"{""accuracy_violation"": 0.768671875}"
random,42,17,random,16849782.48361621,7636640.894944433,2288902306.5892005,818.669297407343,0.904296875,497.911495923996,0,P2,128x128,4,128,2,0,2,4x4,1,10,"{""accuracy_violation"": 0.0}"
random,42,18,random,14731768.491284011,4505971.430273719,855527437.7711326,47.48895115675184,0.099609375,233.88946413993835,0,P0,512x512,7,32,1,1,2,4x4,2,40,"{""accuracy_violation"": 0.780390625}"
random,42,19,random,17820734.5788269,12673612.970001156,1749162384.9066923,595.133848385849,0.111328125,1654.4678840637207,0,P4,128x128,7,32,1,1,2,4x4,2,10,"{""accuracy_violation"": 0.768671875}"
random,42,20,random,13671376.424230805,2403274.127258372,1728523444.6316493,10.832094861949823,0.099609375,709.156495809555,0,P3,256x256,8,32,1,0,4,8x8,2,20,"{""accuracy_violation"": 0.780390625}"
