group_by,group_by_zh,group_value,samples,feasible_samples,feasible_rate,global_pareto_samples,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,mean_accuracy
adc_choice,ADC档位,4,2,1,0.5,0,15659093.533616526,10534362.375328988,2354953730.7135515,0.919921875,0.509765625
adc_choice,ADC档位,6,4,1,0.25,1,5997133.2533934815,3193060.1506895665,1006013853.5562103,0.939453125,0.3125
adc_choice,ADC档位,8,1,0,0.0,0,8448704.031956494,660743.0108614445,1454303896.7855663,0.111328125,0.111328125
adc_choice,ADC档位,7,3,0,0.0,0,10481166.528073765,1566016.2360366941,2062231154.1340282,0.111328125,0.10677083333333333
inter_tile_bw,片间带宽,80,3,1,0.3333333333333333,1,5997133.2533934815,3193060.1506895665,1006013853.5562103,0.939453125,0.3795572916666667
inter_tile_bw,片间带宽,40,3,1,0.3333333333333333,0,15659093.533616526,10534362.375328988,2354953730.7135515,0.919921875,0.373046875
inter_tile_bw,片间带宽,10,3,0,0.0,0,8448704.031956494,660743.0108614445,1454303896.7855663,0.111328125,0.11067708333333333
inter_tile_bw,片间带宽,20,1,0,0.0,0,10533049.72807377,1566016.2360366941,3535253138.9269333,0.111328125,0.111328125
pe_num,PE阵列规模,2x2,2,1,0.5,1,5997133.2533934815,3193060.1506895665,1006013853.5562103,0.939453125,0.51953125
pe_num,PE阵列规模,4x4,4,1,0.25,0,15659093.533616526,10534362.375328988,2354953730.7135515,0.919921875,0.3076171875
pe_num,PE阵列规模,8x8,4,0,0.0,0,10481166.528073765,1566016.2360366941,2062231154.1340282,0.111328125,0.10791015625
rram_preset,RRAM器件预设,P1,2,2,1.0,1,5997133.2533934815,3193060.1506895665,1006013853.5562103,0.939453125,0.9296875
rram_preset,RRAM器件预设,P2,2,0,0.0,0,5370465.03940621,3943527.8007849925,806405342.0955797,0.099609375,0.099609375
rram_preset,RRAM器件预设,P3,2,0,0.0,0,8448704.031956494,660743.0108614445,1454303896.7855663,0.111328125,0.111328125
rram_preset,RRAM器件预设,P0,2,0,0.0,0,10481166.528073765,1574917.2081730494,3191013177.435408,0.099609375,0.099609375
rram_preset,RRAM器件预设,P4,2,0,0.0,0,10533049.72807377,1566016.2360366941,2062231154.1340282,0.111328125,0.1103515625
tile_connection,Tile连接方式,3,2,1,0.5,0,15659093.533616526,10534362.375328988,2354953730.7135515,0.919921875,0.5146484375
tile_connection,Tile连接方式,2,4,1,0.25,1,5997133.2533934815,3193060.1506895665,1006013853.5562103,0.939453125,0.3154296875
tile_connection,Tile连接方式,1,2,0,0.0,0,5370465.03940621,3943527.8007849925,806405342.0955797,0.099609375,0.099609375
tile_connection,Tile连接方式,0,2,0,0.0,0,10481166.528073765,1574917.2081730494,2941409837.4369035,0.111328125,0.10546875
xbar_size,交叉阵列尺寸,128x128,3,1,0.3333333333333333,0,15659093.533616526,10534362.375328988,2354953730.7135515,0.919921875,0.376953125
xbar_size,交叉阵列尺寸,512x512,6,1,0.16666666666666666,1,5997133.2533934815,3193060.1506895665,1006013853.5562103,0.939453125,0.2431640625
xbar_size,交叉阵列尺寸,256x256,1,0,0.0,0,8448704.031956494,660743.0108614445,1454303896.7855663,0.111328125,0.111328125
