algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,42,1,random,5370465.03940621,3943527.8007849925,806405342.0955797,71.3122734378755,0.099609375,72.06467509269714,0,P2,512x512,6,64,1,1,2,2x2,1,40,"{""accuracy_violation"": 0.780390625}"
random,42,2,random,14379162.483616222,8819197.425288975,3191013177.435408,1216.8754617024988,0.099609375,186.92755722999573,0,P0,128x128,6,128,1,1,4,4x4,2,40,"{""accuracy_violation"": 0.780390625}"
random,42,3,random,10481166.528073765,1574917.2081730494,3535253138.9269333,47.273997348147226,0.099609375,61.86164093017578,0,P0,512x512,7,128,1,1,4,8x8,0,80,"{""accuracy_violation"": 0.780390625}"
random,42,4,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.939453125,54.215092182159424,1,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,5,random,8448704.031956494,660743.0108614445,1454303896.7855663,4.733286649333018,0.111328125,88.20000696182251,0,P3,256x256,8,64,2,1,4,4x4,2,10,"{""accuracy_violation"": 0.768671875}"
random,42,6,random,10533049.72807377,1566016.2360366941,3535253138.9269333,46.38206751566722,0.111328125,58.450814962387085,0,P4,512x512,7,128,1,1,4,8x8,2,20,"{""accuracy_violation"": 0.768671875}"
random,42,7,random,16262945.769408964,9245404.061644342,870600717.7711326,81.28617585375183,0.099609375,59.65636396408081,0,P2,512x512,4,32,1,0,2,4x4,1,80,"{""accuracy_violation"": 0.780390625}"
random,42,8,random,28154409.458937343,6674812.957325197,2062231154.1340282,44.2651282237103,0.109375,56.76649498939514,0,P4,512x512,7,64,2,0,1,8x8,3,10,"{""accuracy_violation"": 0.770625}"
random,42,9,random,15659093.533616526,10534362.375328988,2354953730.7135515,856.6961364296048,0.919921875,168.08029890060425,0,P1,128x128,4,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,42,10,random,48107582.663695194,22244869.760856073,2941409837.4369035,1055.1796055176794,0.111328125,182.6938169002533,0,P3,128x128,6,128,1,1,2,8x8,0,10,"{""accuracy_violation"": 0.768671875}"
