rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,run_accuracy,enable_saf,enable_variation,enable_rratio,fixed_qrange,accuracy_target,latency_ns,energy_nj,area_um2,power_w,accuracy,run_id,trial_dir,algo,seed,eval_index,phase,elapsed_s,is_pareto,nn,dataset_module,weights_path,base_config_path,device,space_profile,dataset_signature
P0,128x128,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9452907.30945102,2426702222.653233,429.6055257914888,0.931640625,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,1,matrix_A,1066.1578629016876,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P0,128x128,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14239571.045382822,2354348727.1181145,434.0356431720805,0.9345703125,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,2,matrix_A,1065.5255308151245,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P0,128x128,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9452907.30945102,3083014542.653233,429.6055257914888,0.9287109375,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,3,matrix_A,637.6883070468903,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P0,128x128,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14239571.045382822,3018330807.1181145,434.0356431720805,0.9296875,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,4,matrix_A,636.2460670471191,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P0,512x512,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3196862.6607138305,894254493.5562104,29.65455182969042,0.93359375,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,5,matrix_A,207.20196986198425,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P0,512x512,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5314097.757484067,1078847382.6426022,31.632039149326868,0.9326171875,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,6,matrix_A,208.8874442577362,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P0,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3196862.6607138305,1006013853.5562103,29.65455182969042,0.9345703125,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,7,matrix_A,179.63797307014465,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P0,512x512,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5314097.757484067,1214711702.6426022,31.632039149326868,0.93359375,run_20260409_173123,matrixcsv_seed42,matrixcsv,42,8,matrix_A,180.79264092445374,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.9208984375,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,1,matrix_A,492.8506450653076,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.9296875,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,2,matrix_A,492.36284017562866,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.9287109375,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,3,matrix_A,2972.3657479286194,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,128x128,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14234031.53552794,3018330807.1181145,433.3304938920804,0.9287109375,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,4,matrix_A,2973.66420006752,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,512x512,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.93359375,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,5,matrix_A,160.23169088363647,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,512x512,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.9326171875,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,6,matrix_A,158.29173398017883,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9091796875,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,7,matrix_A,159.0848569869995,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,512x512,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.9296875,run_20260409_181628,matrixcsv_seed42,matrixcsv,42,8,matrix_A,159.68445205688477,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
