group_by,group_by_zh,group_value,samples,feasible_samples,feasible_rate,global_pareto_samples,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,mean_accuracy
adc_choice,ADC档位,6,52,44,0.8461538461538461,6,3884383.145814948,1248300.8586948751,1005056583.1245512,0.9365234375,0.8814415564903846
adc_choice,ADC档位,4,16,12,0.75,2,4430024.989793121,3193060.1506895665,894254493.5562104,0.9345703125,0.90740966796875
adc_choice,ADC档位,7,4,1,0.25,1,5437350.214330991,1608248.0024651666,885898653.5562104,0.884765625,0.6201171875
inter_tile_bw,片间带宽,40,8,8,1.0,0,6228147.0533935,3193060.1506895665,1006013853.5562103,0.9326171875,0.927734375
inter_tile_bw,片间带宽,80,64,49,0.765625,9,3884383.145814948,1248300.8586948751,885898653.5562104,0.9365234375,0.865814208984375
pe_num,PE阵列规模,4x4,24,20,0.8333333333333334,0,14995379.256951638,5309737.221154697,1078847382.6426022,0.9345703125,0.9061279296875
pe_num,PE阵列规模,2x2,48,37,0.7708333333333334,9,3884383.145814948,1248300.8586948751,885898653.5562104,0.9365234375,0.8559773763020834
rram_preset,RRAM器件预设,P1,24,24,1.0,4,3884383.145814948,1248300.8586948751,894254493.5562104,0.9365234375,0.9252115885416666
rram_preset,RRAM器件预设,P2,24,24,1.0,4,3884383.145814948,1248300.8586948751,894254493.5562104,0.9345703125,0.9204915364583334
rram_preset,RRAM器件预设,P0,8,8,1.0,0,4430024.989793121,3196862.6607138305,894254493.5562104,0.9345703125,0.932373046875
rram_preset,RRAM器件预设,P3,12,1,0.08333333333333333,1,5437350.214330991,1608248.0024651666,885898653.5562104,0.884765625,0.8163248697916666
rram_preset,RRAM器件预设,P4,4,0,0.0,0,4001328.28973039,1606120.9014031086,885898653.5562104,0.50390625,0.320556640625
tile_connection,Tile连接方式,3,8,8,1.0,0,6067169.053393581,3193060.1506895665,1006013853.5562103,0.9345703125,0.9249267578125
tile_connection,Tile连接方式,2,64,49,0.765625,9,3884383.145814948,1248300.8586948751,885898653.5562104,0.9365234375,0.8661651611328125
xbar_size,交叉阵列尺寸,512x512,44,37,0.8409090909090909,5,4761170.464182462,1248300.8586948751,885898653.5562104,0.9365234375,0.8875843394886364
xbar_size,交叉阵列尺寸,128x128,28,20,0.7142857142857143,4,3884383.145814948,3787740.2723677782,2354348727.1181145,0.9345703125,0.8492954799107143
