rank,feasible,global_pareto,latency_ns,energy_nj,area_um2,power_w,accuracy,algo,seed,eval_index,run_id,trial_dir,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
1,True,True,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.93359375,matrixcsv,42,5,run_20260409_181628,matrixcsv_seed42,P1,512x512,4,32,2,1,1,2x2,2,80
2,True,False,5997133.2533934815,3196862.6607138305,894254493.5562104,29.65455182969042,0.93359375,matrixcsv,42,5,run_20260409_173123,matrixcsv_seed42,P0,512x512,4,32,2,1,1,2x2,2,80
3,True,True,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9296875,matrixcsv,42,5,run_20260409_210241,matrixcsv_seed42,P2,512x512,4,32,2,1,1,2x2,2,80
4,True,False,5997133.2533934815,3196862.6607138305,1006013853.5562103,29.65455182969042,0.9345703125,matrixcsv,42,7,run_20260409_173123,matrixcsv_seed42,P0,512x512,6,32,2,1,1,2x2,2,80
5,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9296875,matrixcsv,42,7,run_20260409_210241,matrixcsv_seed42,P2,512x512,6,32,2,1,1,2x2,2,80
6,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9091796875,matrixcsv,42,7,run_20260409_181628,matrixcsv_seed42,P1,512x512,6,32,2,1,1,2x2,2,80
7,True,False,4430024.989793121,9452907.30945102,2426702222.653233,429.6055257914888,0.931640625,matrixcsv,42,1,run_20260409_173123,matrixcsv_seed42,P0,128x128,4,32,2,1,1,2x2,2,80
8,True,True,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.9208984375,matrixcsv,42,1,run_20260409_181628,matrixcsv_seed42,P1,128x128,4,32,2,1,1,2x2,2,80
9,True,True,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.90234375,matrixcsv,42,1,run_20260409_210241,matrixcsv_seed42,P2,128x128,4,32,2,1,1,2x2,2,80
10,True,False,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.9326171875,matrixcsv,42,6,run_20260409_181628,matrixcsv_seed42,P1,512x512,4,32,2,1,1,4x4,2,80
11,True,False,17346484.969408944,5314097.757484067,1078847382.6426022,31.632039149326868,0.9326171875,matrixcsv,42,6,run_20260409_173123,matrixcsv_seed42,P0,512x512,4,32,2,1,1,4x4,2,80
12,True,False,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.923828125,matrixcsv,42,6,run_20260409_210241,matrixcsv_seed42,P2,512x512,4,32,2,1,1,4x4,2,80
13,True,False,17346484.969408944,5314097.757484067,1214711702.6426022,31.632039149326868,0.93359375,matrixcsv,42,8,run_20260409_173123,matrixcsv_seed42,P0,512x512,6,32,2,1,1,4x4,2,80
14,True,False,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.9296875,matrixcsv,42,8,run_20260409_181628,matrixcsv_seed42,P1,512x512,6,32,2,1,1,4x4,2,80
15,True,False,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.923828125,matrixcsv,42,8,run_20260409_210241,matrixcsv_seed42,P2,512x512,6,32,2,1,1,4x4,2,80
16,True,False,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.9287109375,matrixcsv,42,3,run_20260409_181628,matrixcsv_seed42,P1,128x128,6,32,2,1,1,2x2,2,80
17,True,False,4430024.989793121,9452907.30945102,3083014542.653233,429.6055257914888,0.9287109375,matrixcsv,42,3,run_20260409_173123,matrixcsv_seed42,P0,128x128,6,32,2,1,1,2x2,2,80
18,True,False,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.892578125,matrixcsv,42,3,run_20260409_210241,matrixcsv_seed42,P2,128x128,6,32,2,1,1,2x2,2,80
19,True,False,14995379.256951638,14239571.045382822,2354348727.1181145,434.0356431720805,0.9345703125,matrixcsv,42,2,run_20260409_173123,matrixcsv_seed42,P0,128x128,4,32,2,1,1,4x4,2,80
20,True,False,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.9296875,matrixcsv,42,2,run_20260409_181628,matrixcsv_seed42,P1,128x128,4,32,2,1,1,4x4,2,80
