rank,feasible,global_pareto,latency_ns,energy_nj,area_um2,power_w,accuracy,algo,seed,eval_index,phase,matrix_point_id,run_id,trial_dir,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
1,True,True,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9287109375,matrixcsv,42,8,matrix_B,,run_20260409_220350,matrixcsv_seed42,P1,512x512,6,128,2,1,1,2x2,2,80
2,True,True,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9111328125,matrixcsv,42,8,matrix_B,,run_20260409_223257,matrixcsv_seed42,P2,512x512,6,128,2,1,1,2x2,2,80
3,True,True,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.884765625,matrixcsv,42,4,matrix_D,,run_20260409_230142,matrixcsv_seed42,P3,512x512,7,32,2,1,1,2x2,2,80
4,True,True,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.93359375,matrixcsv,42,7,matrix_B,,run_20260409_220350,matrixcsv_seed42,P1,512x512,6,128,2,0,1,2x2,2,80
5,True,True,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.916015625,matrixcsv,42,7,matrix_B,,run_20260409_223257,matrixcsv_seed42,P2,512x512,6,128,2,0,1,2x2,2,80
6,True,False,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.93359375,matrixcsv,42,5,matrix_A,,run_20260409_181628,matrixcsv_seed42,P1,512x512,4,32,2,1,1,2x2,2,80
7,True,False,5997133.2533934815,3196862.6607138305,894254493.5562104,29.65455182969042,0.93359375,matrixcsv,42,5,matrix_A,,run_20260409_173123,matrixcsv_seed42,P0,512x512,4,32,2,1,1,2x2,2,80
8,True,False,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9296875,matrixcsv,42,5,matrix_A,,run_20260409_210241,matrixcsv_seed42,P2,512x512,4,32,2,1,1,2x2,2,80
9,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9365234375,matrixcsv,42,6,matrix_B,,run_20260409_220350,matrixcsv_seed42,P1,512x512,6,32,2,1,1,2x2,2,80
10,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.93359375,matrixcsv,42,10,matrix_C,,run_20260410_115450,matrixcsv_seed42,P2,512x512,6,32,2,1,1,2x2,2,80
11,True,False,5997133.2533934815,3196862.6607138305,1006013853.5562103,29.65455182969042,0.9345703125,matrixcsv,42,7,matrix_A,,run_20260409_173123,matrixcsv_seed42,P0,512x512,6,32,2,1,1,2x2,2,80
12,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9296875,matrixcsv,42,7,matrix_A,,run_20260409_210241,matrixcsv_seed42,P2,512x512,6,32,2,1,1,2x2,2,80
13,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.92578125,matrixcsv,42,2,matrix_C,,run_20260410_115450,matrixcsv_seed42,P1,512x512,6,32,2,1,1,2x2,2,80
14,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9228515625,matrixcsv,42,6,matrix_B,,run_20260409_223257,matrixcsv_seed42,P2,512x512,6,32,2,1,1,2x2,2,80
15,True,False,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9091796875,matrixcsv,42,7,matrix_A,,run_20260409_181628,matrixcsv_seed42,P1,512x512,6,32,2,1,1,2x2,2,80
16,True,False,6067169.053393581,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9345703125,matrixcsv,42,12,matrix_C,,run_20260410_115450,matrixcsv_seed42,P2,512x512,6,32,2,1,1,2x2,3,80
17,True,False,6067169.053393581,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9248046875,matrixcsv,42,4,matrix_C,,run_20260410_115450,matrixcsv_seed42,P1,512x512,6,32,2,1,1,2x2,3,80
18,True,False,6228147.0533935,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9326171875,matrixcsv,42,9,matrix_C,,run_20260410_115450,matrixcsv_seed42,P2,512x512,6,32,2,1,1,2x2,2,40
19,True,False,6228147.0533935,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9306640625,matrixcsv,42,1,matrix_C,,run_20260410_115450,matrixcsv_seed42,P1,512x512,6,32,2,1,1,2x2,2,40
20,True,False,6366909.453393695,3193060.1506895665,1006013853.5562103,29.559223145690417,0.931640625,matrixcsv,42,11,matrix_C,,run_20260410_115450,matrixcsv_seed42,P2,512x512,6,32,2,1,1,2x2,3,40
