算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
matrixcsv,42,1,matrix_C,6228147.0533935,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9306640625,180.46321988105774,0,P1,512x512,6,32,2,1,1,2x2,2,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_001"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 1, ""accuracy_violation"": 0.0}"
matrixcsv,42,2,matrix_C,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.92578125,181.33688378334045,1,P1,512x512,6,32,2,1,1,2x2,2,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_002"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 2, ""accuracy_violation"": 0.0}"
matrixcsv,42,3,matrix_C,6366909.453393695,3193060.1506895665,1006013853.5562103,29.559223145690417,0.923828125,168.32468819618225,0,P1,512x512,6,32,2,1,1,2x2,3,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_003"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 3, ""accuracy_violation"": 0.0}"
matrixcsv,42,4,matrix_C,6067169.053393581,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9248046875,167.9377269744873,0,P1,512x512,6,32,2,1,1,2x2,3,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_004"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 4, ""accuracy_violation"": 0.0}"
matrixcsv,42,5,matrix_C,17678932.569409482,5309737.221154697,1214711702.6426022,31.531321697326867,0.9306640625,163.12361598014832,0,P1,512x512,6,32,2,1,1,4x4,2,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_005"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 5, ""accuracy_violation"": 0.0}"
matrixcsv,42,6,matrix_C,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.919921875,163.609787940979,0,P1,512x512,6,32,2,1,1,4x4,2,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_006"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 6, ""accuracy_violation"": 0.0}"
matrixcsv,42,7,matrix_C,18249685.76940889,5309737.221154697,1214711702.6426022,31.531321697326867,0.92578125,161.94435095787048,0,P1,512x512,6,32,2,1,1,4x4,3,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_007"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 7, ""accuracy_violation"": 0.0}"
matrixcsv,42,8,matrix_C,17634690.569409214,5309737.221154697,1214711702.6426022,31.531321697326867,0.9189453125,162.25177884101868,0,P1,512x512,6,32,2,1,1,4x4,3,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_008"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 8, ""accuracy_violation"": 0.0}"
matrixcsv,42,9,matrix_C,6228147.0533935,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9326171875,160.83439087867737,0,P2,512x512,6,32,2,1,1,2x2,2,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_009"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 9, ""accuracy_violation"": 0.0}"
matrixcsv,42,10,matrix_C,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.93359375,161.37953209877014,1,P2,512x512,6,32,2,1,1,2x2,2,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_010"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 10, ""accuracy_violation"": 0.0}"
matrixcsv,42,11,matrix_C,6366909.453393695,3193060.1506895665,1006013853.5562103,29.559223145690417,0.931640625,164.02387809753418,0,P2,512x512,6,32,2,1,1,2x2,3,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_011"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 11, ""accuracy_violation"": 0.0}"
matrixcsv,42,12,matrix_C,6067169.053393581,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9345703125,163.78510284423828,0,P2,512x512,6,32,2,1,1,2x2,3,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_012"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 12, ""accuracy_violation"": 0.0}"
matrixcsv,42,13,matrix_C,17678932.569409482,5309737.221154697,1214711702.6426022,31.531321697326867,0.931640625,164.35575199127197,0,P2,512x512,6,32,2,1,1,4x4,2,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_013"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 13, ""accuracy_violation"": 0.0}"
matrixcsv,42,14,matrix_C,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.919921875,165.27118182182312,0,P2,512x512,6,32,2,1,1,4x4,2,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_014"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 14, ""accuracy_violation"": 0.0}"
matrixcsv,42,15,matrix_C,18249685.76940889,5309737.221154697,1214711702.6426022,31.531321697326867,0.9150390625,165.2998058795929,0,P2,512x512,6,32,2,1,1,4x4,3,40,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_015"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 15, ""accuracy_violation"": 0.0}"
matrixcsv,42,16,matrix_C,17634690.569409214,5309737.221154697,1214711702.6426022,31.531321697326867,0.9248046875,165.47925186157227,0,P2,512x512,6,32,2,1,1,4x4,3,80,"{""matrix_name"": ""C"", ""matrix_point_id"": ""C_016"", ""matrix_purpose"": ""系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益"", ""source_index"": 16, ""accuracy_violation"": 0.0}"
