matrix_name,matrix_point_id,matrix_purpose,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
C,C_001,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,2,40
C,C_002,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,2,80
C,C_003,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,3,40
C,C_004,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,3,80
C,C_005,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,2,40
C,C_006,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,2,80
C,C_007,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,3,40
C,C_008,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,3,80
C,C_009,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,2,40
C,C_010,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,2,80
C,C_011,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,3,40
C,C_012,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,3,80
C,C_013,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,2,40
C,C_014,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,2,80
C,C_015,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,3,40
C,C_016,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,3,80
