matrix_name,matrix_point_id,matrix_purpose,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
A,A_001,主迁移矩阵：观察器件退化下的最优设计迁移,P0,128x128,4,32,2,1,1,2x2,2,80
A,A_002,主迁移矩阵：观察器件退化下的最优设计迁移,P0,128x128,4,32,2,1,1,4x4,2,80
A,A_003,主迁移矩阵：观察器件退化下的最优设计迁移,P0,128x128,6,32,2,1,1,2x2,2,80
A,A_004,主迁移矩阵：观察器件退化下的最优设计迁移,P0,128x128,6,32,2,1,1,4x4,2,80
A,A_005,主迁移矩阵：观察器件退化下的最优设计迁移,P0,512x512,4,32,2,1,1,2x2,2,80
A,A_006,主迁移矩阵：观察器件退化下的最优设计迁移,P0,512x512,4,32,2,1,1,4x4,2,80
A,A_007,主迁移矩阵：观察器件退化下的最优设计迁移,P0,512x512,6,32,2,1,1,2x2,2,80
A,A_008,主迁移矩阵：观察器件退化下的最优设计迁移,P0,512x512,6,32,2,1,1,4x4,2,80
A,A_009,主迁移矩阵：观察器件退化下的最优设计迁移,P1,128x128,4,32,2,1,1,2x2,2,80
A,A_010,主迁移矩阵：观察器件退化下的最优设计迁移,P1,128x128,4,32,2,1,1,4x4,2,80
A,A_011,主迁移矩阵：观察器件退化下的最优设计迁移,P1,128x128,6,32,2,1,1,2x2,2,80
A,A_012,主迁移矩阵：观察器件退化下的最优设计迁移,P1,128x128,6,32,2,1,1,4x4,2,80
A,A_013,主迁移矩阵：观察器件退化下的最优设计迁移,P1,512x512,4,32,2,1,1,2x2,2,80
A,A_014,主迁移矩阵：观察器件退化下的最优设计迁移,P1,512x512,4,32,2,1,1,4x4,2,80
A,A_015,主迁移矩阵：观察器件退化下的最优设计迁移,P1,512x512,6,32,2,1,1,2x2,2,80
A,A_016,主迁移矩阵：观察器件退化下的最优设计迁移,P1,512x512,6,32,2,1,1,4x4,2,80
A,A_017,主迁移矩阵：观察器件退化下的最优设计迁移,P2,128x128,4,32,2,1,1,2x2,2,80
A,A_018,主迁移矩阵：观察器件退化下的最优设计迁移,P2,128x128,4,32,2,1,1,4x4,2,80
A,A_019,主迁移矩阵：观察器件退化下的最优设计迁移,P2,128x128,6,32,2,1,1,2x2,2,80
A,A_020,主迁移矩阵：观察器件退化下的最优设计迁移,P2,128x128,6,32,2,1,1,4x4,2,80
A,A_021,主迁移矩阵：观察器件退化下的最优设计迁移,P2,512x512,4,32,2,1,1,2x2,2,80
A,A_022,主迁移矩阵：观察器件退化下的最优设计迁移,P2,512x512,4,32,2,1,1,4x4,2,80
A,A_023,主迁移矩阵：观察器件退化下的最优设计迁移,P2,512x512,6,32,2,1,1,2x2,2,80
A,A_024,主迁移矩阵：观察器件退化下的最优设计迁移,P2,512x512,6,32,2,1,1,4x4,2,80
A,A_025,主迁移矩阵：观察器件退化下的最优设计迁移,P3,128x128,4,32,2,1,1,2x2,2,80
A,A_026,主迁移矩阵：观察器件退化下的最优设计迁移,P3,128x128,4,32,2,1,1,4x4,2,80
A,A_027,主迁移矩阵：观察器件退化下的最优设计迁移,P3,128x128,6,32,2,1,1,2x2,2,80
A,A_028,主迁移矩阵：观察器件退化下的最优设计迁移,P3,128x128,6,32,2,1,1,4x4,2,80
A,A_029,主迁移矩阵：观察器件退化下的最优设计迁移,P3,512x512,4,32,2,1,1,2x2,2,80
A,A_030,主迁移矩阵：观察器件退化下的最优设计迁移,P3,512x512,4,32,2,1,1,4x4,2,80
A,A_031,主迁移矩阵：观察器件退化下的最优设计迁移,P3,512x512,6,32,2,1,1,2x2,2,80
A,A_032,主迁移矩阵：观察器件退化下的最优设计迁移,P3,512x512,6,32,2,1,1,4x4,2,80
