算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
matrixcsv,419,1,matrix_A,4430024.989793121,9452907.30945102,2426702222.653233,429.6055257914888,0.9453125,137.62556624412537,0,P0,128x128,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_001"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 1, ""noise_seed"": 419000, ""accuracy_violation"": 0.0}"
matrixcsv,419,2,matrix_A,14995379.256951638,14239571.045382822,2354348727.1181145,434.0356431720805,0.939453125,132.52823996543884,0,P0,128x128,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_002"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 2, ""noise_seed"": 419001, ""accuracy_violation"": 0.0}"
matrixcsv,419,3,matrix_A,5997133.2533934815,3196862.6607138305,894254493.5562104,29.65455182969042,0.951171875,46.877408027648926,0,P0,512x512,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_005"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 3, ""noise_seed"": 419002, ""accuracy_violation"": 0.0}"
matrixcsv,419,4,matrix_A,17346484.969408944,5314097.757484067,1078847382.6426022,31.632039149326868,0.947265625,43.84256911277771,0,P0,512x512,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_006"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 4, ""noise_seed"": 419003, ""accuracy_violation"": 0.0}"
matrixcsv,419,5,matrix_A,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.927734375,133.7054889202118,1,P1,128x128,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_009"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 5, ""noise_seed"": 419004, ""accuracy_violation"": 0.0}"
matrixcsv,419,6,matrix_A,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.935546875,136.47980070114136,0,P1,128x128,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_010"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 6, ""noise_seed"": 419005, ""accuracy_violation"": 0.0}"
matrixcsv,419,7,matrix_A,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.939453125,45.64075708389282,1,P1,512x512,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_013"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 7, ""noise_seed"": 419006, ""accuracy_violation"": 0.0}"
matrixcsv,419,8,matrix_A,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.939453125,46.23430919647217,0,P1,512x512,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_014"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 8, ""noise_seed"": 419007, ""accuracy_violation"": 0.0}"
matrixcsv,419,9,matrix_A,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.943359375,127.05471110343933,1,P2,128x128,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_017"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 9, ""noise_seed"": 419008, ""accuracy_violation"": 0.0}"
matrixcsv,419,10,matrix_A,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.908203125,134.95547795295715,0,P2,128x128,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_018"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 10, ""noise_seed"": 419009, ""accuracy_violation"": 0.0}"
matrixcsv,419,11,matrix_A,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.94140625,47.35139298439026,1,P2,512x512,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_021"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 11, ""noise_seed"": 419010, ""accuracy_violation"": 0.0}"
matrixcsv,419,12,matrix_A,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.896484375,48.14692187309265,0,P2,512x512,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_022"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 12, ""noise_seed"": 419011, ""accuracy_violation"": 0.0}"
