candidate_index,scenario_name,mode,adc_choice,dac_num,group_num,inter_tile_bw,pe_num,rram_preset,sub_position,tile_connection,xbar_polarity,xbar_size,matched,mean_accuracy,worst_accuracy,scenario_yield,latency_ns,energy_nj,area_um2
1,meas_cycle_strong,raw,4,128,1,80,2x2,P1,1,2,2,512x512,1,0.9296875,0.9296875,1.0,4761170.464182462,1248300.8586948751,894144505.3005514
1,meas_cycle_weak,raw,4,128,1,80,2x2,P1,1,2,2,512x512,1,0.9296875,0.9296875,1.0,4761170.464182462,1248300.8586948751,894144505.3005514
2,meas_cycle_strong,raw,4,128,1,80,2x2,P2,1,2,2,512x512,1,0.935546875,0.935546875,1.0,4761170.464182462,1248300.8586948751,894144505.3005514
2,meas_cycle_weak,raw,4,128,1,80,2x2,P2,1,2,2,512x512,1,0.935546875,0.935546875,1.0,4761170.464182462,1248300.8586948751,894144505.3005514
3,meas_cycle_strong,raw,6,128,1,80,2x2,P1,1,2,2,512x512,1,0.9453125,0.9453125,1.0,4761170.464182462,1248300.8586948751,1005903865.3005512
3,meas_cycle_weak,raw,6,128,1,80,2x2,P1,1,2,2,512x512,1,0.9453125,0.9453125,1.0,4761170.464182462,1248300.8586948751,1005903865.3005512
4,meas_cycle_strong,raw,6,128,1,80,2x2,P2,1,2,2,512x512,1,0.923828125,0.923828125,1.0,4761170.464182462,1248300.8586948751,1005903865.3005512
4,meas_cycle_weak,raw,6,128,1,80,2x2,P2,1,2,2,512x512,1,0.923828125,0.923828125,1.0,4761170.464182462,1248300.8586948751,1005903865.3005512
5,meas_cycle_strong,raw,7,128,1,80,2x2,P1,0,2,2,512x512,1,0.91796875,0.91796875,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
5,meas_cycle_weak,raw,7,128,1,80,2x2,P1,0,2,2,512x512,1,0.91796875,0.91796875,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
6,meas_cycle_strong,raw,7,128,1,80,2x2,P1,1,2,2,512x512,1,0.927734375,0.927734375,1.0,4328935.425119968,797588.8653504751,885788665.3005514
6,meas_cycle_weak,raw,7,128,1,80,2x2,P1,1,2,2,512x512,1,0.927734375,0.927734375,1.0,4328935.425119968,797588.8653504751,885788665.3005514
7,meas_cycle_strong,raw,7,128,1,80,2x2,P2,0,2,2,512x512,1,0.9140625,0.9140625,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
7,meas_cycle_weak,raw,7,128,1,80,2x2,P2,0,2,2,512x512,1,0.9140625,0.9140625,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
8,meas_cycle_strong,raw,7,128,1,80,2x2,P2,1,2,2,512x512,1,0.91796875,0.91796875,1.0,4328935.425119968,797588.8653504751,885788665.3005514
8,meas_cycle_weak,raw,7,128,1,80,2x2,P2,1,2,2,512x512,1,0.91796875,0.91796875,1.0,4328935.425119968,797588.8653504751,885788665.3005514
9,meas_cycle_strong,raw,7,32,1,80,2x2,P1,1,2,2,512x512,1,0.93359375,0.93359375,1.0,5437350.214330991,1608248.0024651666,885898653.5562104
9,meas_cycle_weak,raw,7,32,1,80,2x2,P1,1,2,2,512x512,1,0.93359375,0.93359375,1.0,5437350.214330991,1608248.0024651666,885898653.5562104
10,meas_cycle_strong,raw,7,32,1,80,2x2,P2,1,2,2,512x512,1,0.94921875,0.94921875,1.0,5437350.214330991,1608248.0024651666,885898653.5562104
10,meas_cycle_weak,raw,7,32,1,80,2x2,P2,1,2,2,512x512,1,0.94921875,0.94921875,1.0,5437350.214330991,1608248.0024651666,885898653.5562104
