robust_rank,candidate_index,scenario_count,matched_scenarios,mean_accuracy,std_accuracy,worst_accuracy,mean_yield,mean_latency_ns,mean_energy_nj,mean_area_um2,adc_choice,dac_num,group_num,inter_tile_bw,pe_num,rram_preset,sub_position,tile_connection,xbar_polarity,xbar_size
1,10,2,2,0.94921875,0.0,0.94921875,1.0,5437350.214330991,1608248.0024651666,885898653.5562104,7,32,1,80,2x2,P2,1,2,2,512x512
2,3,2,2,0.9453125,0.0,0.9453125,1.0,4761170.464182462,1248300.8586948751,1005903865.3005512,6,128,1,80,2x2,P1,1,2,2,512x512
3,2,2,2,0.935546875,0.0,0.935546875,1.0,4761170.464182462,1248300.8586948751,894144505.3005514,4,128,1,80,2x2,P2,1,2,2,512x512
4,9,2,2,0.93359375,0.0,0.93359375,1.0,5437350.214330991,1608248.0024651666,885898653.5562104,7,32,1,80,2x2,P1,1,2,2,512x512
5,1,2,2,0.9296875,0.0,0.9296875,1.0,4761170.464182462,1248300.8586948751,894144505.3005514,4,128,1,80,2x2,P1,1,2,2,512x512
6,6,2,2,0.927734375,0.0,0.927734375,1.0,4328935.425119968,797588.8653504751,885788665.3005514,7,128,1,80,2x2,P1,1,2,2,512x512
7,4,2,2,0.923828125,0.0,0.923828125,1.0,4761170.464182462,1248300.8586948751,1005903865.3005512,6,128,1,80,2x2,P2,1,2,2,512x512
8,8,2,2,0.91796875,0.0,0.91796875,1.0,4328935.425119968,797588.8653504751,885788665.3005514,7,128,1,80,2x2,P2,1,2,2,512x512
9,5,2,2,0.91796875,0.0,0.91796875,1.0,4328935.425119968,1077230.9208284174,884941383.1245514,7,128,1,80,2x2,P1,0,2,2,512x512
10,7,2,2,0.9140625,0.0,0.9140625,1.0,4328935.425119968,1077230.9208284174,884941383.1245514,7,128,1,80,2x2,P2,0,2,2,512x512
