algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
matrixcsv,417,1,matrix_E,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.9296875,50.57395386695862,0,P1,512x512,4,128,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_004"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 1, ""noise_seed"": 417000, ""accuracy_violation"": 0.0}"
matrixcsv,417,2,matrix_E,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9453125,41.98208403587341,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_008"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 2, ""noise_seed"": 417001, ""accuracy_violation"": 0.0}"
matrixcsv,417,3,matrix_E,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.93359375,41.81678605079651,0,P1,512x512,7,32,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_010"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 3, ""noise_seed"": 417002, ""accuracy_violation"": 0.0}"
matrixcsv,417,4,matrix_E,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,42.60715913772583,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_011"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 4, ""noise_seed"": 417003, ""accuracy_violation"": 0.0}"
matrixcsv,417,5,matrix_E,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.927734375,41.633458852767944,1,P1,512x512,7,128,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_012"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 5, ""noise_seed"": 417004, ""accuracy_violation"": 0.0}"
matrixcsv,417,6,matrix_E,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.935546875,41.522549867630005,0,P2,512x512,4,128,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_016"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 6, ""noise_seed"": 417005, ""accuracy_violation"": 0.0}"
matrixcsv,417,7,matrix_E,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.923828125,41.84332513809204,0,P2,512x512,6,128,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_020"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 7, ""noise_seed"": 417006, ""accuracy_violation"": 0.0}"
matrixcsv,417,8,matrix_E,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.94921875,41.63990306854248,0,P2,512x512,7,32,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_022"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 8, ""noise_seed"": 417007, ""accuracy_violation"": 0.0}"
matrixcsv,417,9,matrix_E,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,41.378093004226685,1,P2,512x512,7,128,2,0,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_023"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 9, ""noise_seed"": 417008, ""accuracy_violation"": 0.0}"
matrixcsv,417,10,matrix_E,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,41.36085391044617,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""matrix_name"": ""E"", ""matrix_point_id"": ""E_024"", ""matrix_purpose"": ""formal_v3穷举：全空间36点Ground-Truth评估"", ""source_index"": 10, ""noise_seed"": 417009, ""accuracy_violation"": 0.0}"
