algo,trial_seed,candidate_index,repeat_index,noise_seed,latency_ns,energy_nj,area_um2,power_w,accuracy,accuracy_violation,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
matrixcsv,417,1,1,41700,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.921875,0.0,P1,512x512,7,128,2,1,1,2x2,2,80
matrixcsv,417,1,2,41701,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9140625,0.0,P1,512x512,7,128,2,1,1,2x2,2,80
matrixcsv,417,1,3,41702,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.912109375,0.0,P1,512x512,7,128,2,1,1,2x2,2,80
matrixcsv,417,2,1,41700,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9140625,0.0,P2,512x512,7,128,2,1,1,2x2,2,80
matrixcsv,417,2,2,41701,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,0.0,P2,512x512,7,128,2,1,1,2x2,2,80
matrixcsv,417,2,3,41702,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.927734375,0.0,P2,512x512,7,128,2,1,1,2x2,2,80
matrixcsv,417,3,1,41700,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.921875,0.0,P1,512x512,7,128,2,0,1,2x2,2,80
matrixcsv,417,3,2,41701,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,0.0,P1,512x512,7,128,2,0,1,2x2,2,80
matrixcsv,417,3,3,41702,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,0.0,P1,512x512,7,128,2,0,1,2x2,2,80
matrixcsv,417,4,1,41700,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,0.0,P2,512x512,7,128,2,0,1,2x2,2,80
matrixcsv,417,4,2,41701,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,0.0,P2,512x512,7,128,2,0,1,2x2,2,80
matrixcsv,417,4,3,41702,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.927734375,0.0,P2,512x512,7,128,2,0,1,2x2,2,80
