algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
bo_gp,44,1,init,5925491.606958955,2159155.28117978,1390522565.5109138,224.07489527750815,,3.558887243270874,0,256x256,6,4,2x2,1,20,1024,"{""scalarized_obj"": 34.390591566845515, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,2,init,15468809.432555325,4946578.093523305,1253735419.0836034,229.3051367603446,,3.411465883255005,0,256x256,4,4,4x4,1,40,1024,"{""scalarized_obj"": 36.158421781515074, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,3,init,15903481.085247833,5740412.947882585,1439827635.4036036,225.52706636034463,,3.5632131099700928,0,256x256,6,2,4x4,2,40,512,"{""scalarized_obj"": 36.36264837362282, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,4,init,29134175.97551088,7578538.385046603,2344793379.3769155,74.90488182494107,,3.327246904373169,0,512x512,6,1,8x8,1,20,1024,"{""scalarized_obj"": 37.3433461801429, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,5,init,21835665.724388767,4447370.550918947,1939820712.4969165,13.612824016941065,,2.845088005065918,0,512x512,8,4,8x8,1,40,1024,"{""scalarized_obj"": 36.48405137402284, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,6,init,16065637.00469644,7362470.008665147,1439798738.1236033,224.8973879603446,,4.723240852355957,0,256x256,6,1,4x4,2,40,512,"{""scalarized_obj"": 36.62165326818457, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,7,bo,4609200.345823229,436485.5739678527,832821831.1245515,7.466428518782486,,2.3319129943847656,0,512x512,8,1,2x2,3,20,512,"{""scalarized_obj"": 32.438144109568384, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,8,bo,7195575.302292844,1920521.5611562848,893297223.1245514,59.06970648678248,,2.140434980392456,0,512x512,4,1,2x2,0,10,2048,"{""scalarized_obj"": 34.3791708511921, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,9,bo,4574551.967553121,1035970.5633224761,893349238.2285513,60.20395128678248,,2.3175559043884277,0,512x512,4,3,2x2,3,80,2048,"{""scalarized_obj"": 33.30896742235163, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,10,bo,5912196.183407194,716152.2491661077,1118470257.5429137,23.657914509508167,,3.411181926727295,0,256x256,8,1,2x2,3,10,2048,"{""scalarized_obj"": 33.24122310193365, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,11,bo,5663717.5687249405,446724.43596553215,832943199.7005515,10.112999718782488,,2.5061802864074707,0,512x512,8,4,2x2,3,10,2048,"{""scalarized_obj"": 32.66738587533175, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,12,bo,3606291.788109175,431701.84715030564,832839169.4925516,7.8445101187824875,,2.9899728298187256,1,512x512,8,2,2x2,3,80,2048,"{""scalarized_obj"": 32.181753872653076, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,13,bo,3707253.0268778484,436485.5739678527,832821831.1245515,7.466428518782486,,2.5995280742645264,1,512x512,8,1,2x2,3,80,2048,"{""scalarized_obj"": 32.22038095951383, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,14,bo,3560088.087670309,446724.43596553215,832943199.7005515,10.112999718782488,,2.229888916015625,0,512x512,8,4,2x2,3,80,512,"{""scalarized_obj"": 32.20309077707725, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,15,bo,3552900.087670309,431721.2155879321,832873846.2285514,8.600673318782485,,2.671718120574951,0,512x512,8,3,2x2,3,80,512,"{""scalarized_obj"": 32.166891225393556, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,16,bo,3586374.287670185,431721.2155879321,832873846.2285514,8.600673318782485,,2.6965839862823486,0,512x512,8,3,2x2,1,80,512,"{""scalarized_obj"": 32.176268771112525, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,17,bo,3195393.738599459,721046.8869365482,1118661829.5109136,28.010626509508167,,3.0072922706604004,1,256x256,8,4,2x2,3,80,512,"{""scalarized_obj"": 32.632761821215155, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,18,bo,4173421.204857815,713582.3728580761,884993398.2285513,37.23947128678249,,1.8064160346984863,0,512x512,7,3,2x2,3,80,512,"{""scalarized_obj"": 32.842519638333656, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,19,bo,12267774.324388783,1711464.6973871668,1004312084.2298402,11.585035119206628,,2.196790933609009,0,512x512,8,4,4x4,3,80,512,"{""scalarized_obj"": 34.82086091477316, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,20,bo,3587244.5687248725,431721.2155879321,832873846.2285514,8.600673318782485,,1.7991788387298584,0,512x512,8,3,2x2,0,80,2048,"{""scalarized_obj"": 32.176511404805154, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,21,bo,3852640.4876701985,431721.2155879321,832873846.2285514,8.600673318782485,,1.9409868717193604,0,512x512,8,3,2x2,3,40,512,"{""scalarized_obj"": 32.24788576157803, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,22,bo,3552217.1687249965,431721.2155879321,832873846.2285514,8.600673318782485,,1.9352211952209473,1,512x512,8,3,2x2,3,80,2048,"{""scalarized_obj"": 32.16669899246325, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,23,bo,3335922.1546657663,716152.2491661077,1118470257.5429137,23.657914509508167,,2.6024909019470215,1,256x256,8,1,2x2,3,80,2048,"{""scalarized_obj"": 32.668955014823304, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,44,24,bo,4408851.203493901,4448843.521209404,1213926513.5429137,219.72218327750815,,2.757190227508545,0,256x256,4,1,2x2,3,80,2048,"{""scalarized_obj"": 34.790705103714934, ""weights"": [1.0, 1.0, 0.2]}"
