algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
mobo,44,1,init,5925491.606958955,2159155.28117978,1390522565.5109138,224.07489527750815,,2.27349591255188,0,256x256,6,4,2x2,1,20,1024,{}
mobo,44,2,init,15468809.432555325,4946578.093523305,1253735419.0836034,229.3051367603446,,2.187419891357422,0,256x256,4,4,4x4,1,40,1024,{}
mobo,44,3,init,15903481.085247833,5740412.947882585,1439827635.4036036,225.52706636034463,,2.119004011154175,0,256x256,6,2,4x4,2,40,512,{}
mobo,44,4,init,29134175.97551088,7578538.385046603,2344793379.3769155,74.90488182494107,,2.0978097915649414,0,512x512,6,1,8x8,1,20,1024,{}
mobo,44,5,init,21835665.724388767,4447370.550918947,1939820712.4969165,13.612824016941065,,2.0132651329040527,0,512x512,8,4,8x8,1,40,1024,{}
mobo,44,6,init,16065637.00469644,7362470.008665147,1439798738.1236033,224.8973879603446,,2.4931349754333496,0,256x256,6,1,4x4,2,40,512,{}
mobo,44,7,mobo,8549663.043482406,2159155.28117978,1214118085.5109136,224.07489527750815,,2.0070929527282715,0,256x256,4,4,2x2,0,10,2048,"{""parego_weight"": [0.5496037015988782, 0.033785757131469245, 0.41661054126965263]}"
mobo,44,8,mobo,43346426.96360932,16326480.400301907,1642521735.9225888,248.95140435759717,,2.51849102973938,0,256x256,4,3,8x8,0,10,2048,"{""parego_weight"": [0.24404202905648495, 0.2430272025882862, 0.5129307683552288]}"
mobo,44,9,mobo,7195575.302292844,1920521.5611562848,893297223.1245514,59.06970648678248,,1.4481570720672607,0,512x512,4,1,2x2,0,10,2048,"{""parego_weight"": [0.28769589392195555, 0.3023824417874703, 0.40992166429057414]}"
mobo,44,10,mobo,4608517.426877917,436485.5739678527,832821831.1245515,7.466428518782486,,1.4705898761749268,0,512x512,8,1,2x2,3,20,2048,"{""parego_weight"": [0.24375484890214139, 0.6361872449227968, 0.1200579061750618]}"
mobo,44,11,mobo,3707253.0268778484,436485.5739678527,832821831.1245515,7.466428518782486,,1.6922361850738525,1,512x512,8,1,2x2,3,80,2048,"{""parego_weight"": [0.6037656293759217, 0.13030911766177813, 0.2659252529623001]}"
mobo,44,12,mobo,3559405.1687249965,446724.43596553215,832943199.7005515,10.112999718782488,,1.5161988735198975,1,512x512,8,4,2x2,3,80,2048,"{""parego_weight"": [0.3867679789903742, 0.3516483861252133, 0.26158363488441233]}"
mobo,44,13,mobo,11970528.727904564,1711464.6973871668,1004312084.2298402,11.585035119206628,,1.4697856903076172,0,512x512,8,4,4x4,0,80,2048,"{""parego_weight"": [0.4533714061106514, 0.10491355850197734, 0.44171503538737134]}"
mobo,44,14,mobo,3595115.487670185,446724.43596553215,832943199.7005515,10.112999718782488,,1.3379831314086914,0,512x512,8,4,2x2,0,80,512,"{""parego_weight"": [0.05286881894690126, 0.21657989702577313, 0.7305512840273257]}"
mobo,44,15,mobo,18102967.925561186,2856008.628690927,1077831188.22984,66.08759987120662,,1.2359237670898438,0,512x512,4,4,4x4,0,10,2048,"{""parego_weight"": [0.08852844453137297, 0.3236565775790539, 0.5878149778895732]}"
mobo,44,16,mobo,3335922.1546657663,716152.2491661077,1118470257.5429137,23.657914509508167,,1.1641919612884521,1,256x256,8,1,2x2,3,80,2048,"{""parego_weight"": [0.13866958349319172, 0.7121777727537845, 0.14915264375302362]}"
mobo,44,17,mobo,4178560.4480218776,728585.5932356762,885062751.7005514,38.75179768678249,,1.1526949405670166,0,512x512,7,4,2x2,3,80,2048,"{""parego_weight"": [0.36054789443536067, 0.20862933345262694, 0.4308227721120125]}"
mobo,44,18,mobo,4619726.682982666,1050973.7837000762,1005177951.7005513,61.716277686782476,,0.952552080154419,0,512x512,6,4,2x2,0,80,512,"{""parego_weight"": [0.08825983364701376, 0.2300060105207959, 0.6817341558321903]}"
mobo,44,19,mobo,14412601.528833732,2699413.1621822165,1152943099.0836034,31.308010136344617,,1.6747348308563232,0,256x256,8,4,4x4,0,10,2048,"{""parego_weight"": [0.5768990082611211, 0.16721991237435652, 0.25588107936452237]}"
mobo,44,20,mobo,21988417.284885768,4436627.3449631315,1939535139.3769164,10.415884816941066,,1.8889830112457275,0,512x512,8,1,8x8,3,80,2048,"{""parego_weight"": [0.044064438221248343, 0.9012978035486803, 0.05463775823007129]}"
mobo,44,21,mobo,4581739.96755312,1050973.7837000762,893418591.7005514,61.716277686782476,,1.485663890838623,0,512x512,4,4,2x2,3,80,2048,"{""parego_weight"": [0.40968476335227516, 0.24762341894483295, 0.34269181770289187]}"
mobo,44,22,mobo,14600728.48649813,2305871.6484396267,1067673108.2298399,41.83287987120663,,1.3845741748809814,0,512x512,7,4,4x4,3,80,2048,"{""parego_weight"": [0.2431223735066875, 0.23463775727169242, 0.52223986922162]}"
mobo,44,23,mobo,4171574.243482261,2159155.28117978,1214118085.5109136,224.07489527750815,,1.7083549499511719,0,256x256,4,4,2x2,3,80,2048,"{""parego_weight"": [0.750507778625111, 0.03509003566762453, 0.21440218570726463]}"
mobo,44,24,mobo,3560088.087670309,446724.43596553215,832943199.7005515,10.112999718782488,,1.4755749702453613,0,512x512,8,4,2x2,3,80,512,"{""parego_weight"": [0.7062408469618292, 0.12006331357222631, 0.17369583946594444]}"
