algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
nsga2,44,1,init,5925491.606958955,2159155.28117978,1390522565.5109138,224.07489527750815,,3.5506339073181152,0,256x256,6,4,2x2,1,20,1024,"{""generation"": 0}"
nsga2,44,2,init,15468809.432555325,4946578.093523305,1253735419.0836034,229.3051367603446,,3.5102450847625732,0,256x256,4,4,4x4,1,40,1024,"{""generation"": 0}"
nsga2,44,3,init,15903481.085247833,5740412.947882585,1439827635.4036036,225.52706636034463,,4.45761513710022,0,256x256,6,2,4x4,2,40,512,"{""generation"": 0}"
nsga2,44,4,init,29134175.97551088,7578538.385046603,2344793379.3769155,74.90488182494107,,3.105966806411743,0,512x512,6,1,8x8,1,20,1024,"{""generation"": 0}"
nsga2,44,5,init,21835665.724388767,4447370.550918947,1939820712.4969165,13.612824016941065,,3.3273069858551025,0,512x512,8,4,8x8,1,40,1024,"{""generation"": 0}"
nsga2,44,6,init,16065637.00469644,7362470.008665147,1439798738.1236033,224.8973879603446,,4.303384065628052,0,256x256,6,1,4x4,2,40,512,"{""generation"": 0}"
nsga2,44,7,gen_1,15473204.725524075,4946578.093523305,1253735419.0836034,229.3051367603446,,2.9474129676818848,0,256x256,4,4,4x4,1,40,512,"{""generation"": 1}"
nsga2,44,8,gen_1,5925491.606958955,2159155.28117978,1214118085.5109136,224.07489527750815,,3.5513181686401367,0,256x256,4,4,2x2,1,20,1024,"{""generation"": 1}"
nsga2,44,9,gen_1,16294512.632555299,4946578.093523305,1253735419.0836034,229.3051367603446,,3.5023341178894043,0,256x256,4,4,4x4,1,20,1024,"{""generation"": 1}"
nsga2,44,10,gen_1,16298907.925524049,4946578.093523305,1253735419.0836034,229.3051367603446,,3.2948901653289795,0,256x256,4,4,4x4,1,20,512,"{""generation"": 1}"
nsga2,44,11,gen_2,6156473.0434823865,2159155.28117978,1214118085.5109136,224.07489527750815,,3.544403076171875,0,256x256,4,4,2x2,0,20,2048,"{""generation"": 2}"
nsga2,44,12,gen_2,5607104.406029572,1050973.7837000762,893418591.7005514,61.716277686782476,,2.403717041015625,0,512x512,4,4,2x2,1,20,1024,"{""generation"": 2}"
nsga2,44,13,gen_2,5277082.366539289,2159155.28117978,1214118085.5109136,224.07489527750815,,3.2971670627593994,0,256x256,4,4,2x2,3,20,1024,"{""generation"": 2}"
nsga2,44,14,gen_3,5483990.806029685,1050973.7837000762,893418591.7005514,61.716277686782476,,2.7935597896575928,0,512x512,4,4,2x2,3,20,1024,"{""generation"": 3}"
nsga2,44,15,gen_3,5276130.053062727,2159155.28117978,1214118085.5109136,224.07489527750815,,3.169433116912842,0,256x256,4,4,2x2,3,20,2048,"{""generation"": 3}"
nsga2,44,16,gen_3,6157415.606958949,2159155.28117978,1214118085.5109136,224.07489527750815,,2.6780591011047363,0,256x256,4,4,2x2,0,20,1024,"{""generation"": 3}"
nsga2,44,17,gen_3,5606117.967553009,1050973.7837000762,893418591.7005514,61.716277686782476,,2.2887070178985596,0,512x512,4,4,2x2,1,20,2048,"{""generation"": 3}"
nsga2,44,18,gen_4,5073319.766967182,713582.3728580761,884993398.2285513,37.23947128678249,,1.9566588401794434,1,512x512,7,3,2x2,3,20,1024,"{""generation"": 4}"
nsga2,44,19,gen_4,4536907.966539442,2159155.28117978,1214118085.5109136,224.07489527750815,,2.651737689971924,1,256x256,4,4,2x2,3,40,1024,"{""generation"": 4}"
nsga2,44,20,gen_4,6749542.853062903,2145356.7062805803,1214008615.8149135,221.58763127750822,,2.562288761138916,0,256x256,4,3,2x2,3,10,2048,"{""generation"": 4}"
nsga2,44,21,gen_4,5483004.367553122,1050973.7837000762,893418591.7005514,61.716277686782476,,2.1863608360290527,0,512x512,4,4,2x2,3,20,2048,"{""generation"": 4}"
