algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,42,1,random,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.931640625,175.08001232147217,0,P1,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,2,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.91015625,181.97654914855957,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,3,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.931640625,194.31687712669373,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,4,random,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.7314453125,179.33410739898682,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.1485546875}"
random,42,5,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.8193359375,180.67921090126038,0,P3,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.060664062500000004}"
random,42,6,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.90234375,167.2713749408722,0,P2,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,7,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.859375,166.31012678146362,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.020625000000000004}"
random,42,8,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.865234375,139.65147757530212,0,P3,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.014765625000000004}"
random,42,9,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9013671875,174.72058176994324,1,P2,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,10,random,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.7890625,165.66716051101685,0,P3,512x512,4,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0909375}"
random,42,11,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.8212890625,185.7052834033966,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.058710937500000004}"
random,42,12,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,174.18318033218384,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,13,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,162.21344375610352,1,P1,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,14,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.8447265625,155.36965417861938,0,P3,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.035273437500000004}"
random,42,15,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9267578125,188.9812126159668,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,16,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9111328125,190.07115125656128,0,P2,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,17,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9150390625,200.86222624778748,0,P2,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,18,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.8349609375,198.76493787765503,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.045039062500000004}"
random,42,19,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.9296875,219.8487377166748,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,20,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.78515625,225.52999925613403,0,P3,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.09484375}"
random,42,21,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.9365234375,230.12549948692322,0,P1,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,22,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.7900390625,194.8723406791687,0,P3,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0899609375}"
random,42,23,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.923828125,190.30568671226501,0,P2,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,24,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.9033203125,197.57558345794678,0,P2,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,25,random,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.9248046875,180.7708384990692,0,P1,512x512,4,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,26,random,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.8701171875,189.43729496002197,0,P3,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.009882812500000004}"
random,42,27,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.88671875,159.9824628829956,0,P3,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,28,random,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.919921875,176.5870234966278,0,P2,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,29,random,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.9287109375,191.58485388755798,0,P1,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,30,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9287109375,210.4554750919342,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,31,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9306640625,226.28082919120789,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
