算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
random,43,1,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.759765625,178.06503629684448,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.120234375}"
random,43,2,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,204.98988485336304,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,3,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9365234375,201.97239303588867,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,4,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9345703125,180.0869038105011,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,5,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9326171875,171.79712510108948,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,6,random,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.7841796875,180.8073709011078,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0958203125}"
random,43,7,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.935546875,206.75864958763123,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,8,random,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.7646484375,187.59930777549744,0,P3,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.1153515625}"
random,43,9,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.759765625,197.5976996421814,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.120234375}"
random,43,10,random,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.87109375,182.9409441947937,0,P3,512x512,4,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.008906250000000004}"
random,43,11,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.927734375,183.99792575836182,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,12,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.8212890625,197.20548796653748,0,P3,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.058710937500000004}"
random,43,13,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.939453125,166.99195742607117,0,P1,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,14,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.7783203125,137.64268851280212,0,P3,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.1016796875}"
random,43,15,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.837890625,155.3681662082672,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.042109375000000004}"
