algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,42,1,random,16061241.711727688,5524223.1396305,1440269450.4436033,114.17401119233325,0.8671875,49.77487778663635,0,P3,256x256,6,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.012812500000000004}"
random,42,2,random,15630800.856951386,21853525.738063026,3018330807.1181145,850.5265789104947,0.9267578125,129.32771396636963,0,P1,128x128,6,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,42,3,random,14995379.256951638,14234031.53552794,3018330807.1181145,433.3304938920804,0.9267578125,227.3836841583252,0,P2,128x128,6,32,2,1,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,42,4,random,5505547.211956913,14625424.620446535,1390504602.4562578,216.6891077170386,0.849609375,174.03174352645874,0,P3,256x256,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.030390625000000004}"
random,42,5,random,17013722.980197974,3840969.476307728,1213547962.1178398,62.41514185520663,0.9228515625,90.88082242012024,0,P2,512x512,6,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,42,6,random,15097063.399847614,6292018.4366758745,1240260764.2030354,69.08498614592474,0.91796875,168.7970449924469,0,P2,256x256,7,32,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,42,7,random,4230255.898565065,3787740.2723677782,2427300237.7582936,432.8685861873989,0.9169921875,252.09093976020813,1,P1,128x128,4,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,42,8,random,16110522.180198267,3840969.476307728,1077683642.1178398,62.41514185520663,0.92578125,104.47440004348755,0,P2,512x512,4,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,42,9,random,13648805.655491427,6701703.556800941,2305310210.7135515,268.2414235679906,0.10546875,283.6093473434448,0,P1,128x128,7,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.77453125}"
random,42,10,random,5668364.014331009,2698263.8689908637,885051371.3802106,34.47483540250036,0.9228515625,88.88374352455139,1,P1,512x512,7,32,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,42,11,random,14995379.256951638,14234031.53552794,3018330807.1181145,433.3304938920804,0.9267578125,253.22389817237854,0,P1,128x128,6,32,2,1,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,42,12,random,16110522.180198267,3840969.476307728,1213547962.1178398,62.41514185520663,0.90625,98.02472066879272,0,P2,512x512,6,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,42,13,random,16213888.111727672,7351940.307022113,1253533138.1236033,223.42960920834463,0.826171875,177.15906977653503,0,P3,256x256,4,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.053828125000000004}"
random,42,14,random,5505547.211956913,7803522.713430056,1214545914.7122579,110.9133416567962,0.8427734375,187.20387625694275,0,P3,256x256,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.037226562500000004}"
random,42,15,random,4992184.264182465,1912910.9359328174,893297223.1245514,58.30707701478249,0.890625,102.63653564453125,1,P2,512x512,4,128,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,42,16,random,17346484.969408944,8301107.3894352,1077817353.3306022,61.49106071866793,0.9228515625,102.27779340744019,0,P2,512x512,4,32,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,42,17,random,17253241.077972222,10903125.446532715,1440452764.2030354,113.15026614592473,0.927734375,185.71358704566956,0,P1,256x256,6,32,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,42,18,random,5505547.211956913,14625424.620446535,1390504602.4562578,216.6891077170386,0.9208984375,161.25491547584534,0,P1,256x256,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,19,random,16213888.111727672,7351940.307022113,1253533138.1236033,223.42960920834463,0.919921875,170.9803912639618,0,P2,256x256,4,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,42,20,random,5117243.789793084,17054874.0659343,2426702222.653233,838.9382624293112,0.8779296875,278.50284576416016,0,P2,128x128,4,32,2,0,1,2x2,3,40,"{""accuracy_violation"": 0.0020703125000000044}"
random,42,21,random,14995379.256951638,21853525.738063026,2354348727.1181145,850.5265789104947,0.8564453125,260.6459438800812,0,P3,128x128,4,32,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.023554687500000004}"
random,42,22,random,4776673.845711748,2710071.43749955,1390776785.7989135,111.92584879854581,0.927734375,169.0617959499359,0,P2,256x256,6,128,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.0}"
random,42,23,random,4409793.766970463,2710071.43749955,1214372305.7989137,111.92584879854581,0.92578125,158.22055339813232,1,P2,256x256,4,128,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,42,24,random,3884383.145814948,5735710.703200261,3083612557.758293,845.1078199484215,0.916015625,264.4928195476532,1,P1,128x128,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
