algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
nsga2,42,1,init,4577035.194253822,431721.2155879321,832873846.2285514,8.600673318782485,,2.5258259773254395,0,512x512,8,3,2x2,1,20,2048,"{""generation"": 0}"
nsga2,42,2,init,42593489.38763378,16342836.205076309,1642674041.586589,251.6902651575972,,3.830575704574585,0,256x256,4,4,8x8,1,20,1024,"{""generation"": 0}"
nsga2,42,3,init,4191380.506649277,2324432.466309404,1200737393.5429137,132.46970327750816,,3.9157121181488037,0,256x256,7,1,2x2,0,80,1024,"{""generation"": 0}"
nsga2,42,4,init,42013850.98763264,16326480.400301907,1642521735.9225888,248.95140435759717,,3.8006930351257324,0,256x256,4,3,8x8,0,80,1024,"{""generation"": 0}"
nsga2,42,5,init,17067631.380198468,3849696.154141408,1077683642.1178398,63.220881471206624,,2.3204710483551025,0,512x512,4,1,4x4,1,20,1024,"{""generation"": 0}"
nsga2,42,6,init,29575219.175511073,7578538.385046603,2344793379.3769155,74.90488182494107,,3.7584121227264404,0,512x512,6,1,8x8,2,10,1024,"{""generation"": 0}"
nsga2,42,7,gen_1,4940851.9946542615,707248.3120373482,1118552359.8149135,25.52336250950817,,3.515947103500366,0,256x256,8,3,2x2,1,20,2048,"{""generation"": 1}"
nsga2,42,8,gen_1,3530926.4259242346,716152.2491661077,1118470257.5429137,23.657914509508167,,3.0550320148468018,1,256x256,8,1,2x2,0,80,2048,"{""generation"": 1}"
nsga2,42,9,gen_1,4150873.083962524,2324432.466309404,1200737393.5429137,132.46970327750816,,3.2661659717559814,0,256x256,7,1,2x2,1,80,2048,"{""generation"": 1}"
nsga2,42,10,gen_1,3587472.20837331,431721.2155879321,832873846.2285514,8.600673318782485,,2.3625268936157227,0,512x512,8,3,2x2,0,80,1024,"{""generation"": 1}"
nsga2,42,11,gen_2,3742280.4268778004,436485.5739678527,832821831.1245515,7.466428518782486,,2.5696451663970947,1,512x512,8,1,2x2,0,80,2048,"{""generation"": 2}"
nsga2,42,12,gen_2,4582813.96872486,431721.2155879321,832873846.2285514,8.600673318782485,,2.473860025405884,0,512x512,8,3,2x2,0,20,2048,"{""generation"": 2}"
nsga2,42,13,gen_2,3384434.3850737717,707248.3120373482,1118552359.8149135,25.52336250950817,,3.483304262161255,0,256x256,8,3,2x2,0,80,2048,"{""generation"": 2}"
nsga2,42,14,gen_2,4731631.026877779,436485.5739678527,832821831.1245515,7.466428518782486,,2.559889078140259,0,512x512,8,1,2x2,1,20,2048,"{""generation"": 2}"
nsga2,42,15,gen_3,3916536.76872487,431721.2155879321,832873846.2285514,8.600673318782485,,2.4122278690338135,0,512x512,8,3,2x2,0,40,2048,"{""generation"": 3}"
nsga2,42,16,gen_3,3587244.5687248725,431721.2155879321,832873846.2285514,8.600673318782485,,2.731318712234497,0,512x512,8,3,2x2,0,80,2048,"{""generation"": 3}"
nsga2,42,17,gen_4,3585691.3687248724,431721.2155879321,832873846.2285514,8.600673318782485,,2.0663328170776367,1,512x512,8,3,2x2,1,80,2048,"{""generation"": 4}"
nsga2,42,18,gen_4,4737849.826877778,436485.5739678527,832821831.1245515,7.466428518782486,,1.9266183376312256,0,512x512,8,1,2x2,0,20,2048,"{""generation"": 4}"
nsga2,42,19,gen_4,4636888.588109291,431701.84715030564,832839169.4925516,7.8445101187824875,,2.4722959995269775,1,512x512,8,2,2x2,0,20,2048,"{""generation"": 4}"
nsga2,42,20,gen_4,3187877.194654147,707248.3120373482,1118552359.8149135,25.52336250950817,,2.5450186729431152,1,256x256,8,3,2x2,3,80,2048,"{""generation"": 4}"
