group_by,group_by_zh,group_value,samples,feasible_samples,feasible_rate,global_pareto_samples,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,mean_accuracy
adc_choice,ADC档位,4,77,55,0.7142857142857143,1,4052540.3458149326,1248300.8586948751,893297223.1245514,0.939453125,0.8813286323051948
adc_choice,ADC档位,6,79,56,0.7088607594936709,0,4052540.3458149326,1248300.8586948751,1005056583.1245512,0.9375,0.8889314675632911
adc_choice,ADC档位,7,87,58,0.6666666666666666,32,4328935.425119968,797588.8653504751,884941383.1245514,0.9326171875,0.8830145474137931
inter_tile_bw,片间带宽,40,18,15,0.8333333333333334,0,4565070.698564917,1248300.8586948751,893297223.1245514,0.9375,0.8947482638888888
inter_tile_bw,片间带宽,80,225,154,0.6844444444444444,33,4052540.3458149326,797588.8653504751,884941383.1245514,0.939453125,0.8835763888888889
pe_num,PE阵列规模,4x4,16,12,0.75,0,14733065.533616543,3083857.3074547886,1077683642.1178398,0.935546875,0.8828125
pe_num,PE阵列规模,2x2,227,157,0.6916299559471366,33,4052540.3458149326,797588.8653504751,884941383.1245514,0.939453125,0.8845161068281938
rram_preset,RRAM器件预设,P2,71,71,1.0,16,4052540.3458149326,797588.8653504751,884941383.1245514,0.93359375,0.9157955545774648
rram_preset,RRAM器件预设,P0,11,11,1.0,0,4052540.3458149326,1252106.1713066087,893297223.1245514,0.9375,0.9290660511363636
rram_preset,RRAM器件预设,P1,87,87,1.0,17,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.9250965337643678
rram_preset,RRAM器件预设,P3,74,0,0.0,0,4328935.425119968,797588.8653504751,884941383.1245514,0.87109375,0.7998046875
tile_connection,Tile连接方式,3,17,12,0.7058823529411765,1,4052540.3458149326,1248300.8586948751,893407211.3802106,0.9375,0.8779296875
tile_connection,Tile连接方式,2,226,157,0.6946902654867256,32,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.8848909361172567
xbar_size,交叉阵列尺寸,128x128,12,11,0.9166666666666666,1,4052540.3458149326,3787740.2723677782,2354953730.7135515,0.931640625,0.89697265625
xbar_size,交叉阵列尺寸,512x512,231,158,0.683982683982684,32,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.8837510146103896
