group_by,group_by_zh,group_value,samples,feasible_samples,feasible_rate,global_pareto_samples,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,mean_accuracy
adc_choice,ADC档位,6,158,123,0.7784810126582279,0,3884383.145814948,1248300.8586948751,1005056583.1245512,0.939453125,0.8970591871044303
adc_choice,ADC档位,4,193,142,0.7357512953367875,3,3884383.145814948,1248300.8586948751,893297223.1245514,0.9375,0.8867288698186528
adc_choice,ADC档位,7,177,103,0.5819209039548022,11,3905028.5279078325,797588.8653504751,884941383.1245514,0.931640625,0.7561628266242938
inter_tile_bw,片间带宽,80,290,206,0.7103448275862069,13,3884383.145814948,797588.8653504751,884941383.1245514,0.939453125,0.8482590247844828
inter_tile_bw,片间带宽,40,238,162,0.680672268907563,1,4177721.7279078932,797588.8653504751,884941383.1245514,0.9375,0.8433601956407563
pe_num,PE阵列规模,4x4,184,131,0.7119565217391305,0,13803146.57882686,2382536.3047666484,1067525562.1178398,0.9375,0.8354279891304348
pe_num,PE阵列规模,2x2,344,237,0.688953488372093,14,3884383.145814948,797588.8653504751,884941383.1245514,0.939453125,0.8517328306686046
rram_preset,RRAM器件预设,P0,23,23,1.0,0,4052540.3458149326,1252106.1713066087,893297223.1245514,0.9375,0.9309612771739131
rram_preset,RRAM器件预设,P1,210,189,0.9,7,3884383.145814948,797588.8653504751,884941383.1245514,0.939453125,0.8798316592261904
rram_preset,RRAM器件预设,P2,177,153,0.864406779661017,7,3884383.145814948,797588.8653504751,884941383.1245514,0.93359375,0.8659130031779662
rram_preset,RRAM器件预设,P3,118,3,0.025423728813559324,0,5784806.811956924,2703553.1488564275,1067525562.1178398,0.892578125,0.7395888506355932
tile_connection,Tile连接方式,2,315,224,0.7111111111111111,14,3884383.145814948,797588.8653504751,884941383.1245514,0.9375,0.8560732886904762
tile_connection,Tile连接方式,3,213,144,0.676056338028169,0,3996809.72790796,797588.8653504751,884941383.1245514,0.939453125,0.8312289099178404
xbar_size,交叉阵列尺寸,512x512,244,201,0.8237704918032787,9,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.9006427702356558
xbar_size,交叉阵列尺寸,256x256,128,77,0.6015625,2,3905028.5279078325,1589700.9585995504,1200737393.5429137,0.9326171875,0.87445068359375
xbar_size,交叉阵列尺寸,128x128,156,90,0.5769230769230769,3,3884383.145814948,3787740.2723677782,2304705207.1181145,0.9375,0.7373610276442307
