算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
mobo,43,1,init,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.759765625,16.82434320449829,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.120234375}"
mobo,43,2,init,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,18.70908260345459,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,43,3,init,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9365234375,18.24116587638855,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,43,4,init,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9345703125,18.570217847824097,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,43,5,init,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9326171875,17.723352909088135,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,43,6,init,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.7841796875,19.185226917266846,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0958203125}"
mobo,43,7,mobo,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.92578125,19.505558252334595,0,P2,512x512,4,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.10917440749086225, 0.11315248510200819, 0.7229681000418661, 0.05470500736526352], ""accuracy_violation"": 0.0}"
mobo,43,8,mobo,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.9189453125,19.510746479034424,0,P1,512x512,4,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.3651753451149933, 0.005299070829054909, 0.03256830188085464, 0.5969572821750972], ""accuracy_violation"": 0.0}"
mobo,43,9,mobo,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.93359375,22.53333616256714,0,P1,512x512,4,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.010700347474734615, 0.8454362164885096, 0.06426203608530669, 0.07960139995144892], ""accuracy_violation"": 0.0}"
mobo,43,10,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.837890625,18.126226663589478,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.0863571902324516, 0.5636698006845955, 0.1347945502629348, 0.21517845882001804], ""accuracy_violation"": 0.042109375000000004}"
