algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
nsga2,42,1,init,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.931640625,18.52117395401001,0,P1,512x512,7,32,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,2,init,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.91015625,18.455087184906006,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,3,init,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.931640625,18.567476987838745,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,4,init,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.7314453125,18.025838136672974,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.1485546875}"
nsga2,42,5,init,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.8193359375,18.097298622131348,0,P3,512x512,7,32,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.060664062500000004}"
nsga2,42,6,init,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.90234375,17.7807354927063,0,P2,512x512,6,128,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,7,gen_1,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.927734375,17.613545417785645,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,42,8,gen_1,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.845703125,18.21297311782837,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.034296875000000004}"
nsga2,42,9,gen_1,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.8525390625,17.9558002948761,0,P3,512x512,7,32,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.027460937500000004}"
nsga2,42,10,gen_1,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.91796875,17.147053241729736,0,P2,512x512,7,32,2,0,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,42,11,gen_2,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.9169921875,17.790717363357544,0,P2,512x512,7,32,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,12,gen_2,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9130859375,19.062621593475342,1,P2,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,13,gen_2,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.931640625,17.53289556503296,0,P2,512x512,6,32,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,14,gen_2,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,18.48395609855652,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,15,gen_3,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9091796875,18.583033323287964,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,42,16,gen_3,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9189453125,19.53631854057312,1,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,42,17,gen_3,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.837890625,19.184460401535034,0,P3,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.042109375000000004}"
nsga2,42,18,gen_4,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.9189453125,18.550267934799194,0,P2,512x512,4,128,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.0}"
nsga2,42,19,gen_4,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.7607421875,17.51452326774597,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.1192578125}"
nsga2,42,20,gen_4,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.9150390625,17.805712461471558,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.0}"
nsga2,42,21,gen_4,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9306640625,18.832728147506714,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.0}"
