算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
nsga2,43,1,init,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.759765625,19.71127963066101,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.120234375}"
nsga2,43,2,init,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,19.38039231300354,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,43,3,init,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9365234375,19.89470863342285,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,43,4,init,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9345703125,19.63131618499756,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,43,5,init,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9326171875,19.32372736930847,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,43,6,init,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.7841796875,18.89369821548462,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0958203125}"
nsga2,43,7,gen_1,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,18.525436878204346,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,43,8,gen_1,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.9306640625,19.16404438018799,0,P1,512x512,7,32,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,43,9,gen_1,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.759765625,19.54105854034424,0,P3,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.120234375}"
nsga2,43,10,gen_1,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.931640625,21.052493572235107,1,P2,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,43,11,gen_2,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,20.75010323524475,1,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,43,12,gen_2,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.828125,20.078510999679565,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.051875000000000004}"
nsga2,43,13,gen_3,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.931640625,18.927903175354004,0,P2,512x512,7,32,2,1,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,43,14,gen_3,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.912109375,19.410382986068726,0,P2,512x512,4,128,2,1,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,43,15,gen_3,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.92578125,19.5884211063385,0,P2,512x512,6,128,2,1,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,43,16,gen_3,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9111328125,18.555896520614624,0,P2,512x512,7,32,2,0,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,43,17,gen_4,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.7900390625,19.079301834106445,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.0899609375}"
nsga2,43,18,gen_4,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.81640625,19.22623324394226,0,P3,512x512,4,128,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.06359375}"
nsga2,43,19,gen_4,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.9248046875,19.473942756652832,0,P1,512x512,4,128,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.0}"
nsga2,43,20,gen_4,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.896484375,18.705368995666504,0,P2,512x512,4,128,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.0}"
