算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
random,43,1,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.759765625,16.92594337463379,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.120234375}"
random,43,2,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,16.760868787765503,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,3,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9365234375,16.665297746658325,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,4,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9345703125,16.687333345413208,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,5,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9326171875,17.274909257888794,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,6,random,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.7841796875,18.244723320007324,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0958203125}"
random,43,7,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.935546875,17.12961196899414,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,8,random,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.7646484375,18.519715547561646,0,P3,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.1153515625}"
random,43,9,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.759765625,17.82258677482605,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.120234375}"
random,43,10,random,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.87109375,17.13807725906372,0,P3,512x512,4,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.008906250000000004}"
random,43,11,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.927734375,18.113121271133423,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,12,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.8212890625,17.724345445632935,0,P3,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.058710937500000004}"
random,43,13,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.939453125,17.838281393051147,0,P1,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,14,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.7783203125,18.6792094707489,0,P3,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.1016796875}"
random,43,15,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.837890625,18.54449152946472,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.042109375000000004}"
random,43,16,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.91015625,17.632870197296143,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,17,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.927734375,17.393134593963623,0,P2,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,18,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.93359375,18.114649534225464,0,P2,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,19,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9150390625,18.55535578727722,1,P1,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,20,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.7861328125,17.535115957260132,0,P3,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0938671875}"
random,43,21,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.91796875,17.96385669708252,0,P2,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,22,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.927734375,18.772565126419067,0,P2,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,23,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.9306640625,17.20400905609131,0,P1,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,43,24,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.85546875,17.312873601913452,0,P3,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.024531250000000004}"
