algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,44,1,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,17.981540203094482,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,2,random,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.736328125,18.116573810577393,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.143671875}"
random,44,3,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9208984375,17.868346691131592,0,P2,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,4,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.91796875,17.65976858139038,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,5,random,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.92578125,17.76860213279724,0,P2,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,6,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.8701171875,18.81533646583557,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.009882812500000004}"
random,44,7,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.91796875,18.56857991218567,0,P2,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,8,random,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.916015625,17.78392004966736,0,P2,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,9,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.931640625,18.02017068862915,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,10,random,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.919921875,17.619221687316895,0,P2,512x512,4,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,11,random,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.908203125,17.765479564666748,0,P1,512x512,4,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,12,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.931640625,17.156816959381104,0,P2,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,13,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9267578125,18.19848322868347,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,14,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9033203125,18.05021858215332,1,P2,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,15,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.921875,17.177953958511353,0,P1,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,16,random,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.845703125,17.543546199798584,0,P3,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.034296875000000004}"
random,44,17,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9326171875,18.259483337402344,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,18,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.91796875,17.478540420532227,0,P2,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,19,random,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.669921875,17.850929975509644,0,P3,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.210078125}"
random,44,20,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.9248046875,17.456199407577515,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,21,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.802734375,18.21598243713379,0,P3,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.077265625}"
random,44,22,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.912109375,16.93965220451355,0,P2,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,23,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9306640625,17.983911991119385,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,24,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.8515625,17.71867537498474,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.028437500000000004}"
