algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json,trial_dir,run_id,feasible,global_pareto
mobo,42,8,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9130859375,19.580206394195557,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.17199413570225822, 0.1612738902919892, 0.29894562685510845, 0.3677863471506442], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed42,rram_formal_v3_gpu1,True,True
mobo,42,12,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,20.817777395248413,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.04527521522140524, 0.0038536786808478322, 0.2689396656124848, 0.6819314404852622], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed42,rram_formal_v3_gpu1,True,True
mobo,42,13,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9169921875,19.53576397895813,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.440035666102239, 0.019910988583186913, 0.1362607325519929, 0.40379261276258116], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed42,rram_formal_v3_gpu1,True,True
mobo,42,15,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91015625,18.051798343658447,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.29517896946471284, 0.19323984764676047, 0.1943722293794818, 0.31720895350904493], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed42,rram_formal_v3_gpu1,True,True
mobo,43,2,init,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,18.70908260345459,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed43,rram_formal_v3_gpu1,True,True
mobo,43,11,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.923828125,19.51138973236084,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.12212758098902007, 0.2507837794365853, 0.41097926517700756, 0.21610937439738706], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed43,rram_formal_v3_gpu1,True,True
mobo,43,12,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9130859375,18.09952139854431,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.2655652860692049, 0.38135847196400424, 0.04101898348797499, 0.31205725847881594], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed43,rram_formal_v3_gpu1,True,True
mobo,43,13,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9130859375,18.924116134643555,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.06447056400953335, 0.28970726903878247, 0.027678073389123523, 0.6181440935625606], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed43,rram_formal_v3_gpu1,True,True
mobo,44,1,init,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,19.00955104827881,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed44,rram_formal_v3_gpu1,True,True
mobo,44,7,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.921875,19.129236698150635,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.07346955950428165, 0.1560466477253826, 0.09933245151329205, 0.6711513412570436], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed44,rram_formal_v3_gpu1,True,True
mobo,44,12,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9169921875,20.044779539108276,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.18551356347557668, 0.21960137343122293, 0.49711256062598863, 0.09777250246721174], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed44,rram_formal_v3_gpu1,True,True
mobo,44,18,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,19.099311590194702,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.41041534300553334, 0.03065831022651197, 0.20781785671249792, 0.35110849005545663], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed44,rram_formal_v3_gpu1,True,True
nsga2,42,12,gen_2,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9130859375,19.062621593475342,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed42,rram_formal_v3_gpu1,True,True
nsga2,42,14,gen_2,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,18.48395609855652,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed42,rram_formal_v3_gpu1,True,True
nsga2,42,15,gen_3,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9091796875,18.583033323287964,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed42,rram_formal_v3_gpu1,True,True
nsga2,42,16,gen_3,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9189453125,19.53631854057312,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed42,rram_formal_v3_gpu1,True,True
nsga2,43,2,init,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,19.38039231300354,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed43,rram_formal_v3_gpu1,True,True
nsga2,43,7,gen_1,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,18.525436878204346,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed43,rram_formal_v3_gpu1,True,True
nsga2,43,10,gen_1,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.931640625,21.052493572235107,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed43,rram_formal_v3_gpu1,True,True
nsga2,43,11,gen_2,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,20.75010323524475,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed43,rram_formal_v3_gpu1,True,True
nsga2,44,1,init,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,19.2717182636261,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed44,rram_formal_v3_gpu1,True,True
nsga2,44,14,gen_2,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9033203125,20.98812508583069,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed44,rram_formal_v3_gpu1,True,True
nsga2,44,18,gen_3,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.919921875,18.761664390563965,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed44,rram_formal_v3_gpu1,True,True
nsga2,44,20,gen_4,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,19.21431255340576,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 4, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed44,rram_formal_v3_gpu1,True,True
random,42,9,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9013671875,16.787696599960327,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed42,rram_formal_v3_gpu1,True,True
random,42,12,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,17.204211711883545,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed42,rram_formal_v3_gpu1,True,True
random,42,13,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,16.93682837486267,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed42,rram_formal_v3_gpu1,True,True
random,43,2,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,16.760868787765503,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed43,rram_formal_v3_gpu1,True,True
random,43,19,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9150390625,18.55535578727722,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed43,rram_formal_v3_gpu1,True,True
random,44,1,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,17.981540203094482,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed44,rram_formal_v3_gpu1,True,True
random,44,14,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9033203125,18.05021858215332,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed44,rram_formal_v3_gpu1,True,True
random,44,17,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9326171875,18.259483337402344,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed44,rram_formal_v3_gpu1,True,True
