group_by,group_by_zh,group_value,samples,feasible_samples,feasible_rate,global_pareto_samples,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,mean_accuracy
adc_choice,ADC档位,6,61,42,0.6885245901639344,0,4761170.464182462,1248300.8586948751,1005056583.1245512,0.9365234375,0.8898085297131147
adc_choice,ADC档位,4,59,40,0.6779661016949152,0,4761170.464182462,1248300.8586948751,893297223.1245514,0.939453125,0.8741558527542372
adc_choice,ADC档位,7,87,58,0.6666666666666666,32,4328935.425119968,797588.8653504751,884941383.1245514,0.9326171875,0.8830145474137931
inter_tile_bw,片间带宽,80,207,140,0.6763285024154589,32,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.8824916968599034
pe_num,PE阵列规模,2x2,207,140,0.6763285024154589,32,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.8824916968599034
rram_preset,RRAM器件预设,P1,75,75,1.0,17,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.9253515625
rram_preset,RRAM器件预设,P2,65,65,1.0,15,4328935.425119968,797588.8653504751,884941383.1245514,0.93359375,0.9160907451923077
rram_preset,RRAM器件预设,P3,67,0,0.0,0,4328935.425119968,797588.8653504751,884941383.1245514,0.87109375,0.8019181436567164
tile_connection,Tile连接方式,2,207,140,0.6763285024154589,32,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.8824916968599034
xbar_size,交叉阵列尺寸,512x512,207,140,0.6763285024154589,32,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.8824916968599034
