algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,42,1,random,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.927734375,304.95124912261963,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,2,random,16110522.180198267,3840969.476307728,1077683642.1178398,62.41514185520663,0.923828125,295.0429759025574,0,P1,512x512,4,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,42,3,random,4992184.264182465,1248300.8586948751,894144505.3005514,30.12938593901255,0.90625,278.8110373020172,1,P2,512x512,4,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,42,4,random,16398727.780198477,3083857.3074547886,1214577991.42984,32.54385106898556,0.93359375,293.8985688686371,0,P0,512x512,6,128,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,42,5,random,17634690.569409214,8301107.3894352,1077817353.3306022,61.49106071866793,0.8388671875,274.1181559562683,0,P3,512x512,4,32,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.041132812500000004}"
random,42,6,random,16442969.780198436,3083857.3074547886,1078713671.42984,32.54385106898556,0.93359375,285.0508689880371,0,P0,512x512,4,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,42,7,random,5130946.664182619,1912910.9359328174,893297223.1245514,58.30707701478249,0.859375,296.0916118621826,0,P3,512x512,4,128,2,0,1,2x2,3,40,"{""accuracy_violation"": 0.020625000000000004}"
random,42,8,random,15659093.533616526,10534362.375328988,3018935810.713551,856.6961364296048,0.9130859375,1328.0712020397186,0,P1,128x128,6,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,42,9,random,17634690.569409214,8301107.3894352,1077817353.3306022,61.49106071866793,0.9296875,468.91556096076965,0,P1,512x512,4,32,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,42,10,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.91796875,468.0095019340515,1,P1,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,42,11,random,15630800.856951386,14234031.53552794,3018330807.1181145,433.3304938920804,0.9111328125,1306.7294590473175,0,P2,128x128,6,32,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,42,12,random,14733065.533616543,8574404.008299582,3018935810.713551,437.2987035679905,0.6650390625,1272.2503230571747,0,P3,128x128,6,128,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.2149609375}"
random,42,13,random,16110522.180198267,3083857.3074547886,1078713671.42984,32.54385106898556,0.935546875,414.71341013908386,0,P0,512x512,4,128,2,1,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,42,14,random,4565070.698564917,5735710.703200261,2427300237.7582936,845.1078199484215,0.91796875,45866.222195863724,1,P1,128x128,4,128,2,0,1,2x2,3,40,"{""accuracy_violation"": 0.0}"
random,42,15,random,6067169.053393581,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9287109375,15540.981481075287,0,P1,512x512,6,32,2,0,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,42,16,random,14733065.533616543,8579965.93740584,2354953730.7135515,440.1193006879905,0.916015625,2377.4306728839874,0,P0,128x128,4,128,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,42,17,random,4782428.9897932075,9452907.30945102,2426702222.653233,429.6055257914888,0.931640625,1242.4407088756561,0,P0,128x128,4,32,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,42,18,random,4992184.264182465,1252106.1713066087,1005903865.3005512,30.510700675012544,0.9287109375,414.91804790496826,0,P0,512x512,6,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
