算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
mobo,43,1,init,5117243.789793084,9447367.799596138,2426702222.653233,428.90037651148873,0.8515625,86.0550000667572,0,P3,128x128,4,32,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.028437500000000004}"
mobo,43,2,init,15474754.911727443,7351940.307022113,1439798738.1236033,223.42960920834463,0.748046875,42.02588748931885,0,P3,256x256,6,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.131953125}"
mobo,43,3,init,14822125.702073462,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9072265625,26.963765621185303,0,P2,512x512,7,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
mobo,43,4,init,16214345.656951943,21853525.738063026,3018330807.1181145,850.5265789104947,0.9150390625,85.55476808547974,0,P2,128x128,6,32,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
mobo,43,5,init,15437120.902072983,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9091796875,25.773572206497192,0,P2,512x512,7,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
mobo,43,6,init,15437120.902072983,2382536.3047666484,1068555591.4298401,20.00914126098556,0.9208984375,25.550499439239502,0,P1,512x512,7,128,2,1,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
mobo,43,7,init,17253241.077972222,10903125.446532715,1440452764.2030354,113.15026614592473,0.9306640625,40.388540744781494,0,P1,256x256,6,32,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
mobo,43,8,init,15474754.911727443,7351940.307022113,1439798738.1236033,223.42960920834463,0.9072265625,40.05506205558777,0,P2,256x256,6,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
mobo,43,9,mobo,14533920.102073267,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9130859375,26.15877604484558,0,P1,512x512,7,128,2,0,1,4x4,2,80,"{""parego_weight"": [0.1562443097702421, 0.1929086693433043, 0.4845526485515829, 0.1662943723348707], ""accuracy_violation"": 0.0}"
mobo,43,10,mobo,3884383.145814948,5735710.703200261,2427300237.7582936,845.1078199484215,0.90234375,83.32126998901367,0,P1,128x128,4,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.4084015598339668, 0.14487522073182418, 0.013260744346409281, 0.43346247508779984], ""accuracy_violation"": 0.0}"
mobo,43,11,mobo,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.9072265625,25.699169874191284,0,P2,512x512,7,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.5548332028075524, 0.11214544146619938, 0.00409456856606435, 0.3289267871601837], ""accuracy_violation"": 0.0}"
mobo,43,12,mobo,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.931640625,25.679771661758423,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.31936238663958966, 0.481586521004728, 0.04034020714951968, 0.15871088520616272], ""accuracy_violation"": 0.0}"
mobo,43,13,mobo,4409793.766970463,4438871.811947091,1213926513.5429137,218.2687745735082,0.9306640625,39.83299899101257,0,P1,256x256,4,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.1176897541832434, 0.2484147458582511, 0.06941551136165384, 0.5644799885968516], ""accuracy_violation"": 0.0}"
mobo,43,14,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.8046875,25.341423749923706,0,P3,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.35614562875522665, 0.061062944780801265, 0.5402669479237383, 0.04252447854023367], ""accuracy_violation"": 0.0753125}"
mobo,43,15,mobo,4782428.9897932075,17054874.0659343,3083014542.653233,838.9382624293112,0.9326171875,82.97438502311707,0,P1,128x128,6,32,2,0,1,2x2,2,40,"{""parego_weight"": [0.5009119592985738, 0.0008844348884475948, 0.2897467594165222, 0.2084568463964564], ""accuracy_violation"": 0.0}"
mobo,43,16,mobo,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.9267578125,25.687302112579346,0,P1,512x512,4,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.4798219852167432, 0.08158649911088595, 0.006567454012129033, 0.43202406166024176], ""accuracy_violation"": 0.0}"
mobo,43,17,mobo,5507386.014331081,1608248.0024651666,885898653.5562104,18.072503145690415,0.8427734375,25.800113677978516,0,P3,512x512,7,32,2,1,1,2x2,3,80,"{""parego_weight"": [0.1662285842241189, 0.05944278782608372, 0.15851978483398013, 0.6158088431158173], ""accuracy_violation"": 0.037226562500000004}"
mobo,43,18,mobo,5130946.664182619,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9287109375,25.708006858825684,0,P1,512x512,6,128,2,1,1,2x2,3,40,"{""parego_weight"": [0.027387011711084822, 0.32359490195580876, 0.21456639958394413, 0.4344516867491624], ""accuracy_violation"": 0.0}"
mobo,43,19,mobo,4698711.625120114,1077230.9208284174,884941383.1245514,35.34259701478249,0.92578125,25.437360763549805,0,P1,512x512,7,128,2,0,1,2x2,3,40,"{""parego_weight"": [0.04873538597033079, 0.6647452660238545, 0.25877541197394416, 0.02774393603187068], ""accuracy_violation"": 0.0}"
mobo,43,20,mobo,16110522.180198267,3079493.9685379486,1078713671.42984,32.14098126098556,0.9248046875,25.44361424446106,0,P1,512x512,4,128,2,1,1,4x4,2,80,"{""parego_weight"": [0.0010544847996984785, 0.1707035818071252, 0.6467757472789426, 0.18146618611423374], ""accuracy_violation"": 0.0}"
mobo,43,21,mobo,5507386.014331081,1608248.0024651666,885898653.5562104,18.072503145690415,0.9189453125,25.38006830215454,0,P2,512x512,7,32,2,1,1,2x2,3,80,"{""parego_weight"": [0.3107291400161376, 0.0017389439043592535, 0.32067042443956323, 0.36686149163993986], ""accuracy_violation"": 0.0}"
mobo,43,22,mobo,4831206.264182526,1912910.9359328174,1005056583.1245512,58.30707701478249,0.91796875,25.5446937084198,0,P1,512x512,6,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.17961286561112183, 0.09213044915598867, 0.7176528952675254, 0.010603789965364147], ""accuracy_violation"": 0.0}"
mobo,43,23,mobo,3884383.145814948,3787740.2723677782,2427300237.7582936,432.8685861873989,0.90234375,82.71800017356873,1,P2,128x128,4,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.4704483115198244, 0.13843299117087118, 0.18927114448253265, 0.2018475528267717], ""accuracy_violation"": 0.0}"
mobo,43,24,mobo,4052540.3458149326,5735710.703200261,2427300237.7582936,845.1078199484215,0.9091796875,82.73614716529846,0,P2,128x128,4,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.7022916562195134, 0.18759911407840252, 0.037028370184878465, 0.0730808595172057], ""accuracy_violation"": 0.0}"
mobo,43,25,mobo,3905028.5279078325,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8671875,39.93207621574402,0,P2,256x256,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.35199864652286844, 0.27829552369737026, 0.04533471600098412, 0.32437111377877714], ""accuracy_violation"": 0.012812500000000004}"
mobo,43,26,mobo,3996809.72790796,1589700.9585995504,1201183185.7989137,68.2906487985458,0.603515625,39.78927755355835,0,P3,256x256,7,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.09649110426474083, 0.3186880632519192, 0.4185271758931492, 0.16629365659019074], ""accuracy_violation"": 0.276484375}"
mobo,43,27,mobo,4318012.56697033,2710071.43749955,1214372305.7989137,111.92584879854581,0.759765625,40.32967519760132,0,P3,256x256,4,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.16338549853672776, 0.2999832639721454, 0.25365210719603803, 0.2829791302950889], ""accuracy_violation"": 0.120234375}"
mobo,43,28,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,25.888025760650635,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.6330624316327905, 0.22969529295092997, 0.009991858969081516, 0.127250416447198], ""accuracy_violation"": 0.0}"
mobo,43,29,mobo,4318012.56697033,4438871.811947091,1213926513.5429137,218.2687745735082,0.9189453125,40.117836713790894,0,P1,256x256,4,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.2684834347642102, 0.5682307746318987, 0.04643145848237911, 0.11685433212151193], ""accuracy_violation"": 0.0}"
