algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
mobo,44,1,init,15608940.99984729,9301756.37728024,1239790051.8830352,133.72045686257607,0.9208984375,40.309542655944824,0,P1,256x256,7,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
mobo,44,2,init,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.927734375,25.569026231765747,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,44,3,init,13306322.45549154,7533624.284150348,2305310210.7135515,518.5815764296048,0.10546875,82.48951983451843,0,P2,128x128,7,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.77453125}"
mobo,44,4,init,5505547.211956913,7803522.713430056,1390950394.712258,110.9133416567962,0.931640625,39.972262144088745,0,P1,256x256,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,44,5,init,15630800.856951386,21853525.738063026,2354348727.1181145,850.5265789104947,0.8095703125,82.34684777259827,0,P3,128x128,4,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0704296875}"
mobo,44,6,init,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.9267578125,25.444095373153687,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,44,7,init,14822125.702073462,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9208984375,25.65408945083618,0,P2,512x512,7,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
mobo,44,8,init,4177721.7279078932,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8740234375,40.34267783164978,0,P1,256x256,7,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0059765625000000044}"
mobo,44,9,mobo,4992184.264182465,1248300.8586948751,894144505.3005514,30.12938593901255,0.9208984375,25.509048223495483,0,P1,512x512,4,128,2,1,1,2x2,2,40,"{""parego_weight"": [0.03260933849307572, 0.06350007379440073, 0.37170538432532946, 0.5321852033871942], ""accuracy_violation"": 0.0}"
mobo,44,10,mobo,15549364.111727383,5524223.1396305,1254003850.4436033,114.17401119233325,0.7509765625,40.06699466705322,0,P3,256x256,4,128,2,1,1,4x4,3,80,"{""parego_weight"": [0.012203391178092512, 0.07885948316626733, 0.6002673529755033, 0.3086697726801369], ""accuracy_violation"": 0.1290234375}"
mobo,44,11,mobo,3681844.8067524326,2438120.079495778,2378230157.7582936,263.8113061873989,0.10546875,82.99363923072815,0,P1,128x128,7,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.2962528648801797, 0.18686331841948217, 0.04660645910209997, 0.4702773575982382], ""accuracy_violation"": 0.77453125}"
mobo,44,12,mobo,5668364.014331009,1608248.0024651666,885898653.5562104,18.072503145690415,0.861328125,25.597383975982666,0,P3,512x512,7,32,2,1,1,2x2,2,40,"{""parego_weight"": [0.007218623600046517, 0.1821890623722314, 0.0861294033240793, 0.7244629107036428], ""accuracy_violation"": 0.018671875000000004}"
mobo,44,13,mobo,3857624.406752502,3258052.8706482616,2378230157.7582936,506.9932599484214,0.10546875,82.67023277282715,0,P3,128x128,7,128,2,0,1,2x2,2,40,"{""parego_weight"": [0.2621826208202768, 0.5264082547985109, 0.1698404948972373, 0.04156862948397485], ""accuracy_violation"": 0.77453125}"
mobo,44,14,mobo,4169485.489730378,7975462.3210623,2377632142.653233,500.8237024293112,0.759765625,82.40519380569458,0,P3,128x128,7,32,2,0,1,2x2,3,80,"{""parego_weight"": [0.02102615266048922, 0.35116060788175385, 0.5328572601802277, 0.09495597927752916], ""accuracy_violation"": 0.120234375}"
mobo,44,15,mobo,5807126.4143311875,1608248.0024651666,885898653.5562104,18.072503145690415,0.919921875,25.400606632232666,0,P1,512x512,7,32,2,1,1,2x2,3,40,"{""parego_weight"": [0.17535630897461538, 0.33127603613426276, 0.4308552196062606, 0.06251243528486113], ""accuracy_violation"": 0.0}"
mobo,44,16,mobo,17678932.569409482,5309737.221154697,1078847382.6426022,31.531321697326867,0.755859375,25.77168035507202,0,P3,512x512,4,32,2,1,1,4x4,2,40,"{""parego_weight"": [0.19673800676036937, 0.16833490299601586, 0.2111668149923112, 0.4237602752513037], ""accuracy_violation"": 0.124140625}"
mobo,44,17,mobo,4409793.766970463,4438871.811947091,1213926513.5429137,218.2687745735082,0.6962890625,39.94429922103882,0,P3,256x256,4,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.27960417633206935, 0.22391995432978393, 0.22429894590790952, 0.27217692343023714], ""accuracy_violation"": 0.1837109375}"
mobo,44,18,mobo,4559949.225119956,1077230.9208284174,884941383.1245514,35.34259701478249,0.8125,25.910046577453613,0,P3,512x512,7,128,2,0,1,2x2,2,40,"{""parego_weight"": [0.19644080294384525, 0.47295720627341004, 0.180871315274506, 0.14973067550823882], ""accuracy_violation"": 0.0675}"
mobo,44,19,mobo,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.6240234375,25.491652965545654,0,P3,512x512,7,128,2,1,1,2x2,2,40,"{""parego_weight"": [0.1872248135053766, 0.18273674943420692, 0.2528822499561845, 0.3771561871042319], ""accuracy_violation"": 0.2559765625}"
mobo,44,20,mobo,4398971.225120035,1077230.9208284174,884941383.1245514,35.34259701478249,0.8310546875,25.402341604232788,0,P3,512x512,7,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.008967818141775864, 0.19276141338749667, 0.02240484235402516, 0.7758659261167024], ""accuracy_violation"": 0.048945312500000004}"
mobo,44,21,mobo,4831206.264182526,1912910.9359328174,1005056583.1245512,58.30707701478249,0.7666015625,26.534257888793945,0,P3,512x512,6,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.26349197678397007, 0.037514833587624315, 0.634634537808253, 0.06435865182015263], ""accuracy_violation"": 0.1133984375}"
mobo,44,22,mobo,4398971.225120035,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,26.643198251724243,1,P1,512x512,7,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.2391940969437275, 0.46815431623921205, 0.10325434295020629, 0.18939724386685405], ""accuracy_violation"": 0.0}"
mobo,44,23,mobo,6067169.053393581,5802139.1135352645,893407211.3802106,57.43931540250036,0.9208984375,26.474692344665527,0,P1,512x512,4,32,2,0,1,2x2,3,80,"{""parego_weight"": [0.3643435114777134, 0.07011724947369127, 0.034319784874204944, 0.5312194541743904], ""accuracy_violation"": 0.0}"
mobo,44,24,mobo,4359411.806649266,2314460.7570470907,1200737393.5429137,131.01629457350816,0.5322265625,41.8466215133667,0,P3,256x256,7,128,2,0,1,2x2,3,40,"{""parego_weight"": [0.10785765301333872, 0.3339013890433523, 0.15940380148363545, 0.39883715645967355], ""accuracy_violation"": 0.3477734375}"
mobo,44,25,mobo,4409793.766970463,4438871.811947091,1213926513.5429137,218.2687745735082,0.9091796875,41.61035418510437,0,P1,256x256,4,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.1493459826068534, 0.7255001849658502, 0.06605022965238179, 0.05910360277491448], ""accuracy_violation"": 0.0}"
mobo,44,26,mobo,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.9208984375,26.706963062286377,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.18159669221829894, 0.05247976495870088, 0.21347732134901726, 0.5524462214739828], ""accuracy_violation"": 0.0}"
mobo,44,27,mobo,4430024.989793121,17054874.0659343,2426702222.653233,838.9382624293112,0.9248046875,85.89206528663635,0,P1,128x128,4,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.06539209011522411, 0.5407098787286525, 0.1166000158871141, 0.2772980152690091], ""accuracy_violation"": 0.0}"
mobo,44,28,mobo,4318012.56697033,2710071.43749955,1214372305.7989137,111.92584879854581,0.91796875,41.435880184173584,1,P1,256x256,4,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.13062463110404784, 0.48150634451215363, 0.2041382398879125, 0.183730784495886], ""accuracy_violation"": 0.0}"
mobo,44,29,mobo,4398971.225120035,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,26.151197910308838,1,P2,512x512,7,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.26518150255617373, 0.31853120549958325, 0.4158850977472812, 0.0004021941969619439], ""accuracy_violation"": 0.0}"
