algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
nsga2,42,1,init,16061241.711727688,5524223.1396305,1440269450.4436033,114.17401119233325,0.8671875,25.920637845993042,0,P3,256x256,6,128,2,1,1,4x4,2,40,"{""generation"": 0, ""accuracy_violation"": 0.012812500000000004}"
nsga2,42,2,init,15630800.856951386,21853525.738063026,3018330807.1181145,850.5265789104947,0.9267578125,49.78065323829651,0,P1,128x128,6,32,2,0,1,4x4,2,40,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,3,init,14995379.256951638,14234031.53552794,3018330807.1181145,433.3304938920804,0.9267578125,50.27012586593628,0,P2,128x128,6,32,2,1,1,4x4,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,4,init,5505547.211956913,14625424.620446535,1390504602.4562578,216.6891077170386,0.849609375,25.46178674697876,0,P3,256x256,6,32,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.030390625000000004}"
nsga2,42,5,init,17013722.980197974,3840969.476307728,1213547962.1178398,62.41514185520663,0.9228515625,16.826579809188843,0,P2,512x512,6,128,2,0,1,4x4,3,40,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,6,init,15097063.399847614,6292018.4366758745,1240260764.2030354,69.08498614592474,0.91796875,25.4282705783844,0,P2,256x256,7,32,2,1,1,4x4,3,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,7,init,4230255.898565065,3787740.2723677782,2427300237.7582936,432.8685861873989,0.9169921875,49.65334105491638,0,P1,128x128,4,128,2,1,1,2x2,2,40,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,8,init,16110522.180198267,3840969.476307728,1077683642.1178398,62.41514185520663,0.92578125,16.641515970230103,0,P2,512x512,4,128,2,0,1,4x4,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,9,gen_1,14028076.033602431,4050101.962733661,1240077450.4436033,70.10873119233327,0.6181640625,25.89380717277527,0,P3,256x256,7,128,2,1,1,4x4,3,80,"{""generation"": 1, ""accuracy_violation"": 0.2618359375}"
nsga2,42,10,gen_1,15608940.99984729,6292018.4366758745,1240260764.2030354,69.08498614592474,0.927734375,25.121389627456665,0,P2,256x256,7,32,2,1,1,4x4,2,40,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,42,11,gen_1,5244532.7728944225,3712638.327330056,1201356794.7122579,67.27814165679622,0.798828125,25.132694005966187,0,P3,256x256,7,32,2,1,1,2x2,2,40,"{""generation"": 1, ""accuracy_violation"": 0.081171875}"
nsga2,42,12,gen_1,16442969.780198436,3079493.9685379486,1214577991.42984,32.14098126098556,0.9267578125,16.931913137435913,0,P2,512x512,6,128,2,1,1,4x4,2,40,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,42,13,gen_2,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.931640625,16.908968448638916,0,P2,512x512,7,128,2,1,1,2x2,2,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,14,gen_2,3884383.145814948,3787740.2723677782,2427300237.7582936,432.8685861873989,0.9130859375,49.453922748565674,1,P1,128x128,4,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,15,gen_2,16442969.780198436,3840969.476307728,1077683642.1178398,62.41514185520663,0.92578125,17.065590620040894,0,P2,512x512,4,128,2,0,1,4x4,2,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,16,gen_2,17253241.077972222,18109370.277377084,1439982051.8830354,221.8330968625761,0.9228515625,25.68013286590576,0,P2,256x256,6,32,2,0,1,4x4,2,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,17,gen_3,15075548.733616473,10534362.375328988,2354953730.7135515,856.6961364296048,0.916015625,49.64424443244934,0,P1,128x128,4,128,2,0,1,4x4,2,40,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,42,18,gen_3,4052540.3458149326,3787740.2723677782,2427300237.7582936,432.8685861873989,0.916015625,50.34527778625488,0,P1,128x128,4,128,2,1,1,2x2,3,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,42,19,gen_3,4782428.9897932075,9447367.799596138,3083014542.653233,428.90037651148873,0.923828125,50.41444778442383,0,P1,128x128,6,32,2,1,1,2x2,2,40,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,42,20,gen_3,15630800.856951386,14234031.53552794,3018330807.1181145,433.3304938920804,0.9287109375,49.585326194763184,0,P2,128x128,6,32,2,1,1,4x4,2,40,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,42,21,gen_4,5130946.664182619,1248300.8586948751,1005903865.3005512,30.12938593901255,0.869140625,16.859708309173584,0,P2,512x512,6,128,2,1,1,2x2,3,40,"{""generation"": 4, ""accuracy_violation"": 0.010859375000000004}"
