算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
nsga2,44,1,init,15608940.99984729,9301756.37728024,1239790051.8830352,133.72045686257607,0.9208984375,25.137567281723022,0,P1,256x256,7,32,2,0,1,4x4,2,40,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,44,2,init,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.927734375,16.205172538757324,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,44,3,init,13306322.45549154,7533624.284150348,2305310210.7135515,518.5815764296048,0.10546875,46.4782452583313,0,P2,128x128,7,128,2,0,1,4x4,3,80,"{""generation"": 0, ""accuracy_violation"": 0.77453125}"
nsga2,44,4,init,5505547.211956913,7803522.713430056,1390950394.712258,110.9133416567962,0.931640625,24.339321613311768,0,P1,256x256,6,32,2,1,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,44,5,init,15630800.856951386,21853525.738063026,2354348727.1181145,850.5265789104947,0.8095703125,46.25560545921326,0,P3,128x128,4,32,2,0,1,4x4,2,40,"{""generation"": 0, ""accuracy_violation"": 0.0704296875}"
nsga2,44,6,init,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.9267578125,16.233317852020264,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,44,7,init,14822125.702073462,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9208984375,16.019134998321533,0,P2,512x512,7,128,2,0,1,4x4,3,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,44,8,init,4177721.7279078932,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8740234375,24.348902940750122,0,P1,256x256,7,128,2,1,1,2x2,2,40,"{""generation"": 0, ""accuracy_violation"": 0.0059765625000000044}"
nsga2,44,9,gen_1,6228147.0533935,5802139.1135352645,893407211.3802106,57.43931540250036,0.857421875,16.102362394332886,0,P2,512x512,4,32,2,0,1,2x2,2,40,"{""generation"": 1, ""accuracy_violation"": 0.022578125000000004}"
nsga2,44,10,gen_1,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9208984375,16.48498773574829,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,44,11,gen_1,4992184.264182465,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9033203125,16.18604850769043,0,P1,512x512,6,128,2,1,1,2x2,2,40,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,44,12,gen_1,5784806.811956924,7803522.713430056,1390950394.712258,110.9133416567962,0.92578125,24.565274238586426,0,P1,256x256,6,32,2,1,1,2x2,2,40,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,44,13,gen_2,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9228515625,16.602513074874878,0,P2,512x512,6,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,44,14,gen_2,3905028.5279078325,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8271484375,25.09420394897461,0,P2,256x256,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.052851562500000004}"
nsga2,44,15,gen_2,4992184.264182465,1912910.9359328174,893297223.1245514,58.30707701478249,0.9189453125,15.742047309875488,0,P2,512x512,4,128,2,0,1,2x2,2,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,44,16,gen_2,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,16.240960359573364,1,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,44,17,gen_3,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.927734375,16.190674543380737,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,44,18,gen_3,3905028.5279078325,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8681640625,24.37722373008728,0,P1,256x256,7,128,2,1,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.011835937500000004}"
nsga2,44,19,gen_3,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.916015625,16.087496757507324,0,P1,512x512,7,128,2,1,1,2x2,2,40,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,44,20,gen_3,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.9248046875,16.176124334335327,0,P2,512x512,4,128,2,0,1,2x2,2,80,"{""generation"": 3, ""accuracy_violation"": 0.0}"
nsga2,44,21,gen_4,4992184.264182465,1912910.9359328174,1005056583.1245512,58.30707701478249,0.916015625,15.988273859024048,0,P1,512x512,6,128,2,0,1,2x2,2,40,"{""generation"": 4, ""accuracy_violation"": 0.0}"
nsga2,44,22,gen_4,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.9208984375,15.973968267440796,0,P2,512x512,7,128,2,1,1,2x2,2,40,"{""generation"": 4, ""accuracy_violation"": 0.0}"
nsga2,44,23,gen_4,4992184.264182465,1248300.8586948751,1005903865.3005512,30.12938593901255,0.90625,15.37473177909851,0,P2,512x512,6,128,2,1,1,2x2,2,40,"{""generation"": 4, ""accuracy_violation"": 0.0}"
nsga2,44,24,gen_4,5668364.014331009,1608248.0024651666,885898653.5562104,18.072503145690415,0.9296875,15.991955041885376,0,P1,512x512,7,32,2,1,1,2x2,2,40,"{""generation"": 4, ""accuracy_violation"": 0.0}"
nsga2,44,25,gen_5,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.919921875,16.32718515396118,0,P2,512x512,4,128,2,1,1,2x2,2,80,"{""generation"": 5, ""accuracy_violation"": 0.0}"
nsga2,44,26,gen_5,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.9189453125,15.934806823730469,0,P1,512x512,7,32,2,1,1,2x2,2,80,"{""generation"": 5, ""accuracy_violation"": 0.0}"
nsga2,44,27,gen_5,3905028.5279078325,2314460.7570470907,1200737393.5429137,131.01629457350816,0.8564453125,24.437593460083008,0,P1,256x256,7,128,2,0,1,2x2,2,80,"{""generation"": 5, ""accuracy_violation"": 0.023554687500000004}"
nsga2,44,28,gen_5,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.9267578125,16.247939348220825,0,P1,512x512,4,128,2,0,1,2x2,2,80,"{""generation"": 5, ""accuracy_violation"": 0.0}"
nsga2,44,29,gen_6,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.923828125,15.566444158554077,0,P2,512x512,7,32,2,1,1,2x2,2,80,"{""generation"": 6, ""accuracy_violation"": 0.0}"
nsga2,44,30,gen_6,4177721.7279078932,2314460.7570470907,1200737393.5429137,131.01629457350816,0.859375,24.039174795150757,0,P1,256x256,7,128,2,0,1,2x2,2,40,"{""generation"": 6, ""accuracy_violation"": 0.020625000000000004}"
