algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,43,1,random,5117243.789793084,9447367.799596138,2426702222.653233,428.90037651148873,0.8515625,55.34741973876953,0,P3,128x128,4,32,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.028437500000000004}"
random,43,2,random,15474754.911727443,7351940.307022113,1439798738.1236033,223.42960920834463,0.748046875,28.806188344955444,0,P3,256x256,6,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.131953125}"
random,43,3,random,14822125.702073462,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9072265625,18.552629947662354,0,P2,512x512,7,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,43,4,random,16214345.656951943,21853525.738063026,3018330807.1181145,850.5265789104947,0.9150390625,53.050708532333374,0,P2,128x128,6,32,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,43,5,random,15437120.902072983,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9091796875,18.27248764038086,0,P2,512x512,7,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,43,6,random,15437120.902072983,2382536.3047666484,1068555591.4298401,20.00914126098556,0.9208984375,18.483999967575073,0,P1,512x512,7,128,2,1,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,43,7,random,17253241.077972222,10903125.446532715,1440452764.2030354,113.15026614592473,0.9306640625,27.88646960258484,0,P1,256x256,6,32,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,43,8,random,15474754.911727443,7351940.307022113,1439798738.1236033,223.42960920834463,0.9072265625,31.964493989944458,0,P2,256x256,6,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,43,9,random,4776673.845711748,2710071.43749955,1214372305.7989137,111.92584879854581,0.927734375,30.972723484039307,0,P1,256x256,4,128,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.0}"
random,43,10,random,13953466.833602492,4818287.912205274,1239606738.1236033,135.3169692083446,0.8798828125,28.209678888320923,0,P1,256x256,7,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.00011718750000000444}"
random,43,11,random,13648805.655491427,6701703.556800941,2305310210.7135515,268.2414235679906,0.10546875,60.587965965270996,0,P3,128x128,7,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.77453125}"
random,43,12,random,4318012.56697033,4438871.811947091,1213926513.5429137,218.2687745735082,0.916015625,29.760862827301025,1,P2,256x256,4,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
