group_by,group_by_zh,group_value,samples,feasible_samples,feasible_rate,global_pareto_samples,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,mean_accuracy
adc_choice,ADC档位,6,110,85,0.7727272727272727,0,3884383.145814948,1248300.8586948751,1005056583.1245512,0.939453125,0.8975319602272728
adc_choice,ADC档位,4,145,110,0.7586206896551724,3,3884383.145814948,1248300.8586948751,893297223.1245514,0.93359375,0.8884496228448275
adc_choice,ADC档位,7,177,103,0.5819209039548022,11,3905028.5279078325,797588.8653504751,884941383.1245514,0.931640625,0.7561628266242938
inter_tile_bw,片间带宽,80,246,174,0.7073170731707317,13,3884383.145814948,797588.8653504751,884941383.1245514,0.939453125,0.8407925241361789
inter_tile_bw,片间带宽,40,186,124,0.6666666666666666,1,4177721.7279078932,797588.8653504751,884941383.1245514,0.9326171875,0.8309654317876344
pe_num,PE阵列规模,2x2,287,199,0.6933797909407665,14,3884383.145814948,797588.8653504751,884941383.1245514,0.939453125,0.8455704213850174
pe_num,PE阵列规模,4x4,145,99,0.6827586206896552,0,13803146.57882686,2382536.3047666484,1067525562.1178398,0.931640625,0.8187297952586207
rram_preset,RRAM器件预设,P1,179,158,0.88268156424581,7,3884383.145814948,797588.8653504751,884941383.1245514,0.939453125,0.8724849423882681
rram_preset,RRAM器件预设,P2,161,137,0.8509316770186336,7,3884383.145814948,797588.8653504751,884941383.1245514,0.93359375,0.8611158288043478
rram_preset,RRAM器件预设,P3,92,3,0.03260869565217391,0,5784806.811956924,2703553.1488564275,1067525562.1178398,0.892578125,0.7236965013586957
tile_connection,Tile连接方式,2,259,182,0.7027027027027027,14,3884383.145814948,797588.8653504751,884941383.1245514,0.9326171875,0.8478259230212355
tile_connection,Tile连接方式,3,173,116,0.6705202312138728,0,3996809.72790796,797588.8653504751,884941383.1245514,0.939453125,0.8196972091763006
xbar_size,交叉阵列尺寸,512x512,186,157,0.8440860215053764,9,4328935.425119968,797588.8653504751,884941383.1245514,0.939453125,0.9016507056451613
xbar_size,交叉阵列尺寸,256x256,128,77,0.6015625,2,3905028.5279078325,1589700.9585995504,1200737393.5429137,0.9326171875,0.87445068359375
xbar_size,交叉阵列尺寸,128x128,118,64,0.5423728813559322,3,3884383.145814948,3787740.2723677782,2304705207.1181145,0.9326171875,0.6928628177966102
