rank,feasible,global_pareto,latency_ns,energy_nj,area_um2,power_w,accuracy,algo,seed,eval_index,phase,matrix_point_id,run_id,trial_dir,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
1,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,nsga2,44,16,gen_2,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,P1,512x512,7,128,2,1,1,2x2,2,80
2,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9208984375,nsga2,44,10,gen_1,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,P2,512x512,7,128,2,1,1,2x2,2,80
3,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9140625,nsga2,42,43,gen_9,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed42,P1,512x512,7,128,2,1,1,2x2,2,80
4,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9033203125,nsga2,43,41,gen_9,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed43,P2,512x512,7,128,2,1,1,2x2,2,80
5,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,mobo,43,28,mobo,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,P2,512x512,7,128,2,1,1,2x2,2,80
6,True,False,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.927734375,mobo,43,43,mobo,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,P1,512x512,7,128,2,1,1,2x2,3,80
7,True,False,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.9248046875,nsga2,42,47,gen_10,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed42,P1,512x512,7,128,2,1,1,2x2,3,80
8,True,False,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.9150390625,nsga2,44,47,gen_10,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,P1,512x512,7,128,2,1,1,2x2,3,80
9,True,False,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.9140625,mobo,42,36,mobo,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed42,P1,512x512,7,128,2,1,1,2x2,3,80
10,True,False,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.91015625,nsga2,43,26,gen_5,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed43,P1,512x512,7,128,2,1,1,2x2,3,80
11,True,False,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.9072265625,mobo,43,11,mobo,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,P2,512x512,7,128,2,1,1,2x2,3,80
12,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9189453125,nsga2,44,40,gen_8,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,P1,512x512,7,128,2,0,1,2x2,2,80
13,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,nsga2,44,33,gen_7,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,P2,512x512,7,128,2,0,1,2x2,2,80
14,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,mobo,43,44,mobo,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,P1,512x512,7,128,2,0,1,2x2,2,80
15,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,nsga2,43,43,gen_9,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed43,P1,512x512,7,128,2,0,1,2x2,2,80
16,True,False,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.931640625,nsga2,42,13,gen_2,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed42,P2,512x512,7,128,2,1,1,2x2,2,40
17,True,False,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.9208984375,nsga2,42,40,gen_8,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed42,P1,512x512,7,128,2,1,1,2x2,2,40
18,True,False,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.9208984375,nsga2,44,22,gen_4,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,P2,512x512,7,128,2,1,1,2x2,2,40
19,True,False,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.9189453125,mobo,43,38,mobo,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,P1,512x512,7,128,2,1,1,2x2,2,40
20,True,False,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,nsga2,43,35,gen_7,,rram_guidance_v4_gpu0,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed43,P2,512x512,7,128,2,1,1,2x2,2,40
