算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
nsga2,42,1,init,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9296875,166.46693301200867,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,2,init,16110522.180198267,3840969.476307728,1077683642.1178398,62.41514185520663,0.9208984375,171.57321000099182,0,P1,512x512,4,128,2,0,1,4x4,2,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,3,init,4992184.264182465,1248300.8586948751,894144505.3005514,30.12938593901255,0.9052734375,167.30012226104736,1,P2,512x512,4,128,2,1,1,2x2,2,40,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,4,init,16398727.780198477,3083857.3074547886,1214577991.42984,32.54385106898556,0.9326171875,160.77108597755432,0,P0,512x512,6,128,2,1,1,4x4,3,80,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,5,init,17634690.569409214,8301107.3894352,1077817353.3306022,61.49106071866793,0.8388671875,161.60136699676514,0,P3,512x512,4,32,2,0,1,4x4,3,80,"{""generation"": 0, ""accuracy_violation"": 0.041132812500000004}"
nsga2,42,6,init,16442969.780198436,3083857.3074547886,1078713671.42984,32.54385106898556,0.93359375,161.14035820960999,0,P0,512x512,4,128,2,1,1,4x4,2,40,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,7,init,5130946.664182619,1912910.9359328174,893297223.1245514,58.30707701478249,0.8603515625,159.4766981601715,0,P3,512x512,4,128,2,0,1,2x2,3,40,"{""generation"": 0, ""accuracy_violation"": 0.019648437500000004}"
nsga2,42,8,init,15659093.533616526,10534362.375328988,3018935810.713551,856.6961364296048,0.916015625,486.38302397727966,0,P1,128x128,6,128,2,0,1,4x4,3,40,"{""generation"": 0, ""accuracy_violation"": 0.0}"
nsga2,42,9,gen_1,4992184.264182465,1912910.9359328174,893297223.1245514,58.30707701478249,0.9248046875,160.11499691009521,1,P2,512x512,4,128,2,0,1,2x2,2,40,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,42,10,gen_1,4992184.264182465,1248300.8586948751,894144505.3005514,30.12938593901255,0.8564453125,170.8684229850769,0,P3,512x512,4,128,2,1,1,2x2,2,40,"{""generation"": 1, ""accuracy_violation"": 0.023554687500000004}"
nsga2,42,11,gen_1,4230255.898565065,3787740.2723677782,3083612557.758293,432.8685861873989,0.9052734375,508.6832880973816,0,P1,128x128,6,128,2,1,1,2x2,2,40,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,42,12,gen_1,5130946.664182619,1248300.8586948751,894144505.3005514,30.12938593901255,0.90234375,169.02047395706177,0,P2,512x512,4,128,2,1,1,2x2,3,40,"{""generation"": 1, ""accuracy_violation"": 0.0}"
nsga2,42,13,gen_2,4992184.264182465,1248300.8586948751,1005903865.3005512,30.12938593901255,0.927734375,171.4069619178772,0,P1,512x512,6,128,2,1,1,2x2,2,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,14,gen_2,4992184.264182465,1248300.8586948751,894144505.3005514,30.12938593901255,0.9150390625,165.1506369113922,1,P1,512x512,4,128,2,1,1,2x2,2,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,15,gen_2,4565070.698564917,5735710.703200261,3083612557.758293,845.1078199484215,0.9189453125,492.5308690071106,0,P1,128x128,6,128,2,0,1,2x2,3,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,16,gen_2,4992184.264182465,1252106.1713066087,894144505.3005514,30.510700675012544,0.9375,169.74973273277283,0,P0,512x512,4,128,2,1,1,2x2,2,40,"{""generation"": 2, ""accuracy_violation"": 0.0}"
nsga2,42,17,gen_3,4230255.898565065,3793302.2014740356,3083612557.758293,435.6891833073988,0.9208984375,503.6037197113037,0,P0,128x128,6,128,2,1,1,2x2,2,40,"{""generation"": 3, ""accuracy_violation"": 0.0}"
