算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
random,44,1,random,4599621.38979314,17054874.0659343,3083014542.653233,838.9382624293112,0.779296875,487.9399480819702,0,P3,128x128,6,32,2,0,1,2x2,3,80,"{""accuracy_violation"": 0.100703125}"
random,44,2,random,5117243.789793084,9447367.799596138,2426702222.653233,428.90037651148873,0.80859375,499.7918291091919,0,P3,128x128,4,32,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.07140625}"
random,44,3,random,4565070.698564917,3787740.2723677782,2427300237.7582936,432.8685861873989,0.912109375,491.5275766849518,1,P2,128x128,4,128,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.0}"
random,44,4,random,17634690.569409214,5309737.221154697,1214711702.6426022,31.531321697326867,0.9326171875,164.5065312385559,0,P1,512x512,6,32,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,44,5,random,6228147.0533935,5802139.1135352645,893407211.3802106,57.43931540250036,0.9208984375,164.41341423988342,1,P1,512x512,4,32,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,44,6,random,6067169.053393581,3193060.1506895665,894254493.5562104,29.559223145690417,0.7236328125,163.8576819896698,0,P3,512x512,4,32,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.1563671875}"
random,44,7,random,17013722.980197974,3083857.3074547886,1078713671.42984,32.54385106898556,0.9267578125,162.25375413894653,0,P0,512x512,4,128,2,1,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,44,8,random,14440127.133616269,10534362.375328988,3018935810.713551,856.6961364296048,0.9072265625,487.74223494529724,0,P1,128x128,6,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,44,9,random,17678932.569409482,8309828.46209394,1213681673.3306022,61.692495622667934,0.9365234375,162.93279480934143,0,P0,512x512,6,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,44,10,random,16214345.656951943,14239571.045382822,3018330807.1181145,434.0356431720805,0.9375,513.7202990055084,0,P0,128x128,6,32,2,1,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,44,11,random,4782428.9897932075,17054874.0659343,3083014542.653233,838.9382624293112,0.7880859375,500.42622327804565,0,P3,128x128,6,32,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.0919140625}"
random,44,12,random,16398727.780198477,3079493.9685379486,1078713671.42984,32.14098126098556,0.927734375,167.06611609458923,0,P2,512x512,4,128,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,44,13,random,6067169.053393581,5802139.1135352645,893407211.3802106,57.43931540250036,0.783203125,168.57407212257385,0,P3,512x512,4,32,2,0,1,2x2,3,80,"{""accuracy_violation"": 0.096796875}"
random,44,14,random,14733065.533616543,8574404.008299582,3018935810.713551,437.2987035679905,0.923828125,495.8952839374542,0,P1,128x128,6,128,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,44,15,random,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.9296875,171.49065804481506,0,P1,512x512,6,32,2,1,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,44,16,random,4599621.38979314,17054874.0659343,2426702222.653233,838.9382624293112,0.9248046875,503.2344288825989,1,P1,128x128,4,32,2,0,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,44,17,random,15288317.65695191,14239571.045382822,3018330807.1181145,434.0356431720805,0.9296875,497.94990277290344,0,P0,128x128,6,32,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,44,18,random,3884383.145814948,3787740.2723677782,2427300237.7582936,432.8685861873989,0.8154296875,489.6636679172516,0,P3,128x128,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0645703125}"
random,44,19,random,4761170.464182462,1252106.1713066087,1005903865.3005512,30.510700675012544,0.9326171875,165.626225233078,1,P0,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,20,random,4992184.264182465,1912910.9359328174,893297223.1245514,58.30707701478249,0.826171875,168.634192943573,0,P3,512x512,4,128,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.053828125000000004}"
random,44,21,random,16442969.780198436,3083857.3074547886,1078713671.42984,32.54385106898556,0.9287109375,168.93210005760193,0,P0,512x512,4,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,44,22,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.8310546875,450.40175795555115,0,P3,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.048945312500000004}"
random,44,23,random,4565070.698564917,5735710.703200261,3083612557.758293,845.1078199484215,0.7802734375,1478.6051468849182,0,P3,128x128,6,128,2,0,1,2x2,3,40,"{""accuracy_violation"": 0.0997265625}"
random,44,24,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.8291015625,17424.61850118637,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.050898437500000004}"
