iter,objective,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
1,32.42017841733983,4577035.194253822,431721.2155879321,832873846.2285514,8.600673318782485,,1.429394245147705,"(512, 512)",8,3,"(2, 2)",1,20,2048
2,38.42043051258817,42593489.38763378,16342836.205076309,1642674041.586589,251.6902651575972,,2.504310131072998,"(256, 256)",4,4,"(8, 8)",1,20,1024
3,34.0887681897451,4191380.506649277,2324432.466309404,1200737393.5429137,132.46970327750816,,1.7482540607452393,"(256, 256)",7,1,"(2, 2)",0,80,1024
4,38.405708612843945,42013850.98763264,16326480.400301907,1642521735.9225888,248.95140435759717,,2.512639045715332,"(256, 256)",4,3,"(8, 8)",0,80,1024
5,33.049291314654376,4941069.509302699,707248.3120373482,1118552359.8149135,25.52336250950817,,1.878544807434082,"(256, 256)",8,3,"(2, 2)",1,20,1024
6,34.80100429850725,12118376.586057609,1698550.3279874078,1004164538.11784,8.718316719206628,,1.6756079196929932,"(512, 512)",8,1,"(4, 4)",0,80,2048
7,32.22996741473978,3742963.345823113,436485.5739678527,832821831.1245515,7.466428518782486,,1.434412956237793,"(512, 512)",8,1,"(2, 2)",0,80,512
8,32.20309077707725,3560088.087670309,446724.43596553215,832943199.7005515,10.112999718782488,,1.7274560928344727,"(512, 512)",8,4,"(2, 2)",3,80,512
9,33.325577104967984,4584699.282982808,1050973.7837000762,893418591.7005514,61.716277686782476,,2.0547850131988525,"(512, 512)",4,4,"(2, 2)",3,80,512
10,36.41360993931607,19965661.525523458,4946578.093523305,1253735419.0836034,229.3051367603446,,3.669478178024292,"(256, 256)",4,4,"(4, 4)",3,10,512
11,32.66750644590176,5664400.487670253,446724.43596553215,832943199.7005515,10.112999718782488,,2.020188808441162,"(512, 512)",8,4,"(2, 2)",3,10,512
12,32.20289893231219,3559405.1687249965,446724.43596553215,832943199.7005515,10.112999718782488,,3.3269801139831543,"(512, 512)",8,4,"(2, 2)",3,80,2048
