算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,1,random,3881431.0107003604,1102740.4859567464,2219654033.1447506,354.1522967938272,,4.713116884231567,0,256x256,6,4,2x2,1,20,1024,{}
random,44,2,random,9534773.191086594,2609586.549557825,1976477013.614151,362.2763982366523,,4.4976818561553955,0,256x256,4,4,4x4,1,40,1024,{}
random,44,3,random,9529723.132800777,3002880.511471623,2269845919.3421516,356.18528463665234,,4.4658989906311035,0,256x256,6,2,4x4,2,40,512,{}
random,44,4,random,17427770.629527215,4068777.3462641467,3595349848.3779373,139.52886776110958,,3.866919994354248,0,512x512,6,1,8x8,1,20,1024,{}
random,44,5,random,12970090.965571491,2400734.453594594,2974391759.1619387,25.415368785109585,,4.128499984741211,0,512x512,8,4,8x8,1,40,1024,{}
random,44,6,random,9697770.530291319,3810983.4061792186,2269800363.6301513,355.1700990366523,,4.8891870975494385,0,256x256,6,1,4x4,2,40,512,{}
random,44,7,random,18721762.240325987,6710195.726189972,2436485942.379884,246.12635192091264,,4.879573106765747,0,256x256,7,4,8x8,2,10,512,{}
random,44,8,random,2760867.984335848,1470808.079405812,2219391917.81675,348.15553199382725,,4.817927837371826,0,256x256,6,2,2x2,2,80,512,{}
random,44,9,random,15332638.591352738,3011655.942773582,3162430927.1619377,92.0790709611096,,4.157005071640015,0,512x512,7,4,8x8,3,80,1024,{}
random,44,10,random,20307162.546810858,9186511.979061246,2831759740.0118837,391.1288879209127,,5.603594064712524,0,256x256,6,1,8x8,0,10,512,{}
random,44,11,random,7747841.939666385,1449285.8483989306,1817261995.630151,42.610876572652316,,5.092648029327393,0,256x256,8,1,4x4,3,40,512,{}
random,44,12,random,3004519.0703302617,2225907.0456319433,2219348231.9287505,347.1560711938272,,5.130922079086304,0,256x256,6,1,2x2,3,80,2048,{}
random,44,13,random,22060273.69763463,8278727.509742103,2831816854.6358833,392.2305599209127,,4.6721649169921875,0,256x256,6,2,8x8,3,10,2048,{}
random,44,14,random,4584764.914207494,576817.8884751098,1422846929.729671,57.09866393550959,,3.3071129322052,0,512x512,7,1,2x2,2,10,512,{}
random,44,15,random,18285571.769036938,6710195.726189972,2436485942.379884,246.12635192091264,,5.8942131996154785,0,256x256,7,4,8x8,1,10,2048,{}
random,44,16,random,8742271.126792727,856504.7408604466,1522443009.404467,13.678693093816806,,3.636206865310669,0,512x512,8,1,4x4,2,10,512,{}
random,44,17,random,10209871.939110719,1422552.7231880806,1840118996.348467,103.31381408581679,,3.765778064727783,0,512x512,6,4,4x4,2,40,1024,{}
random,44,18,random,8454700.558149705,854736.3839433766,1522538880.3804672,15.662825893816803,,3.536057710647583,0,512x512,8,3,4x4,3,20,1024,{}
random,44,19,random,3336191.1550564975,862587.779065012,1916748717.8167503,210.35073199382722,,4.347828149795532,0,256x256,7,2,2x2,0,40,2048,{}
random,44,20,random,3220511.400048333,555163.1256014629,1436365441.8576708,95.21702073550958,,3.476051092147827,1,512x512,4,3,2x2,2,80,512,{}
random,44,21,random,3004519.0703302617,2225907.0456319433,1937758471.9287505,347.1560711938272,,4.760586977005005,0,256x256,4,1,2x2,3,80,2048,{}
random,44,22,random,15597387.57221232,3011655.942773582,3162430927.1619377,92.0790709611096,,4.754684925079346,0,512x512,7,4,8x8,1,20,512,{}
random,44,23,random,10045893.717626357,1412238.5962376806,1839991168.3804677,100.6683036858168,,3.937882661819458,0,512x512,6,3,4x4,1,80,2048,{}
random,44,24,random,16051199.388763525,5332664.708218556,2264798006.379884,55.67778673691267,,4.93316912651062,0,256x256,8,4,8x8,2,10,512,{}
random,44,25,random,18850737.763369065,8278727.509742103,2831816854.6358833,392.2305599209127,,4.741551876068115,0,256x256,6,2,8x8,2,80,2048,{}
random,44,26,random,17250928.249846037,3685364.1868471033,3595412402.489938,140.3868053611096,,3.915799140930176,0,512x512,6,2,8x8,2,20,2048,{}
random,44,27,random,20481200.476654097,7826343.454128931,2831931083.8838835,394.43390392091266,,4.6553590297698975,0,256x256,6,3,8x8,2,10,1024,{}
random,44,28,random,2673542.8321640454,1094571.4733231463,1937889529.59275,350.15445359382727,,3.8104450702667236,0,256x256,4,3,2x2,2,80,512,{}
random,44,29,random,16996764.146916218,3685364.1868471033,3192202162.4899383,140.3868053611096,,3.865088939666748,0,512x512,4,2,8x8,3,80,512,{}
random,44,30,random,8579706.095774312,1445386.1198970892,1817398662.766151,45.65643337265231,,4.6810009479522705,0,256x256,8,3,4x4,3,20,1024,{}
random,44,31,random,17166966.80658733,3495389.958933782,3595537510.7139378,142.1026805611096,,3.7557079792022705,0,512x512,6,3,8x8,2,20,512,{}
random,44,32,random,10806531.834055644,2609586.549557825,2270119253.614151,362.2763982366523,,4.427406072616577,0,256x256,6,4,4x4,3,20,512,{}
random,44,33,random,21976979.597213563,7826343.454128931,2831931083.8838835,394.43390392091266,,5.191848039627075,0,256x256,6,3,8x8,3,10,1024,{}
random,44,34,random,17513280.569037035,6700811.501012372,2436257483.883883,241.71966392091264,,4.777292966842651,0,256x256,7,3,8x8,1,20,2048,{}
random,44,35,random,3261659.4000482904,555163.1256014629,1616056961.8576708,95.21702073550958,,3.1379430294036865,0,512x512,6,3,2x2,1,80,512,{}
random,44,36,random,16890856.1469161,3685364.1868471033,3595412402.489938,140.3868053611096,,4.096933126449585,0,512x512,6,2,8x8,1,80,512,{}
random,44,37,random,7718385.634064857,854220.7512186666,1522474966.3964672,14.340070693816806,,3.639439105987549,0,512x512,8,2,4x4,2,80,2048,{}
random,44,38,random,2439827.541148411,705623.8053023464,1916836089.59275,212.3496535938272,,4.188194036483765,0,256x256,7,3,2x2,2,80,1024,{}
random,44,39,random,8222254.420691331,1445693.030741703,1817307551.3421512,43.626062172652304,,4.0821990966796875,0,256x256,8,2,4x4,0,40,2048,{}
random,44,40,random,16948647.259466793,6710195.726189972,2436485942.379884,246.12635192091264,,4.464020013809204,0,256x256,7,4,8x8,0,80,1024,{}
random,44,41,random,3744343.3362133615,701340.0627558785,1616001207.1056707,93.97288953550958,,2.9943530559539795,0,512x512,6,2,2x2,3,40,2048,{}
