algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
random,43,1,random,42667369.723333344,17253071.6397539,1642445583.090589,247.58197395759717,,3.1280229091644287,0,256x256,4,2,8x8,0,20,2048,{}
random,43,2,random,3968185.9070545863,431701.84715030564,832839169.4925516,7.8445101187824875,,1.6973671913146973,1,512x512,8,2,2x2,1,40,512,{}
random,43,3,random,5965777.132936206,431701.84715030564,832839169.4925516,7.8445101187824875,,2.125080108642578,0,512x512,8,2,2x2,1,10,512,{}
random,43,4,random,15239384.325523555,4946578.093523305,1440001019.0836034,229.3051367603446,,2.9711759090423584,0,256x256,6,4,4x4,2,80,512,{}
random,43,5,random,15461873.432555325,4931765.080326505,1253619829.9636033,226.78642316034464,,2.8548409938812256,0,256x256,4,3,4x4,1,40,1024,{}
random,43,6,random,22542530.04611693,4430544.468251009,1939575935.5369165,10.872590416941065,,2.584657907485962,0,512x512,8,2,8x8,0,10,2048,{}
random,43,7,random,7103862.538599587,707248.3120373482,1118552359.8149135,25.52336250950817,,3.0320770740509033,0,256x256,8,3,2x2,1,10,512,{}
random,43,8,random,39412942.4704452,14010691.921595788,1624323961.586589,155.26274515759715,,4.012712240219116,0,256x256,7,4,8x8,0,10,1024,{}
random,43,9,random,4080735.6069589467,2159155.28117978,1214118085.5109136,224.07489527750815,,2.5235629081726074,0,256x256,4,4,2x2,2,80,1024,{}
random,43,10,random,18215337.009062067,5740412.947882585,1439827635.4036036,225.52706636034463,,3.1208412647247314,0,256x256,6,2,4x4,0,10,1024,{}
random,43,11,random,22568331.24611693,4430544.468251009,1939575935.5369165,10.872590416941065,,2.7304880619049072,0,512x512,8,2,8x8,3,20,2048,{}
random,43,12,random,20450135.9220452,2837962.093420527,1077746876.16584,64.44947507120662,,1.7764878273010254,0,512x512,4,3,4x4,3,10,1024,{}
random,43,13,random,5155029.388109297,431701.84715030564,832839169.4925516,7.8445101187824875,,2.0645039081573486,0,512x512,8,2,2x2,2,10,2048,{}
random,43,14,random,16717128.063304275,2427376.4603257873,1067546640.1338401,39.37569267120663,,2.135133981704712,0,512x512,7,2,4x4,2,10,1024,{}
random,43,15,random,4435364.463010588,1084841.5460518848,884941383.1245514,36.10522648678249,,2.0228967666625977,0,512x512,7,1,2x2,0,80,512,{}
random,43,16,random,25828856.600170534,5586894.207144911,2062454952.496916,49.402941024941065,,2.546877861022949,0,512x512,7,4,8x8,1,80,1024,{}
random,43,17,random,4157539.926962781,2911707.225850988,1213953880.9669135,220.3439992775082,,2.7434749603271484,0,256x256,4,2,2x2,2,80,1024,{}
random,43,18,random,15971924.586070923,4946578.093523305,1440001019.0836034,229.3051367603446,,2.953956127166748,0,256x256,6,4,4x4,3,40,2048,{}
random,43,19,random,29130312.481370255,7578538.385046603,2344793379.3769155,74.90488182494107,,2.458085060119629,0,512x512,6,1,8x8,2,20,2048,{}
random,43,20,random,3594432.5687248725,446724.43596553215,832943199.7005515,10.112999718782488,,1.7278919219970703,0,512x512,8,4,2x2,0,80,2048,{}
random,43,21,random,6076541.893113103,436485.5739678527,832821831.1245515,7.466428518782486,,1.6563489437103271,0,512x512,8,1,2x2,0,10,1024,{}
random,43,22,random,4994157.14113559,1920521.5611562848,893297223.1245514,59.06970648678248,,1.471851110458374,0,512x512,4,1,2x2,2,40,512,{}
random,43,23,random,5024368.225414005,1329213.4080361456,1005073921.4925513,59.44778808678249,,1.881174087524414,0,512x512,6,2,2x2,1,40,1024,{}
random,43,24,random,3851957.568724886,431721.2155879321,832873846.2285514,8.600673318782485,,2.003006935119629,0,512x512,8,3,2x2,3,40,2048,{}
random,43,25,random,3552444.808373434,431721.2155879321,832873846.2285514,8.600673318782485,,2.1212821006774902,0,512x512,8,3,2x2,3,80,1024,{}
random,43,26,random,43112997.64278307,19111511.34162109,1887839826.6745892,246.8972587575972,,3.4326021671295166,0,256x256,6,1,8x8,2,20,2048,{}
random,43,27,random,30266489.92158954,6494229.481494131,2344915767.856916,76.27499862494106,,2.601531982421875,0,512x512,6,3,8x8,3,10,1024,{}
random,43,28,random,26826315.929417312,6025189.148559784,2062169379.376916,46.20600182494107,,2.6487247943878174,0,512x512,7,1,8x8,1,10,512,{}
random,43,29,random,7110726.538599587,721046.8869365482,1118661829.5109136,28.010626509508167,,2.524399995803833,0,256x256,8,4,2x2,1,10,512,{}
