算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,1,random,5925491.606958955,2159155.28117978,1390522565.5109138,224.07489527750815,,2.596687078475952,0,256x256,6,4,2x2,1,20,1024,{}
random,44,2,random,15468809.432555325,4946578.093523305,1253735419.0836034,229.3051367603446,,2.3897619247436523,0,256x256,4,4,4x4,1,40,1024,{}
random,44,3,random,15903481.085247833,5740412.947882585,1439827635.4036036,225.52706636034463,,2.9319519996643066,0,256x256,6,2,4x4,2,40,512,{}
random,44,4,random,29134175.97551088,7578538.385046603,2344793379.3769155,74.90488182494107,,3.4227662086486816,0,512x512,6,1,8x8,1,20,1024,{}
random,44,5,random,21835665.724388767,4447370.550918947,1939820712.4969165,13.612824016941065,,2.879431962966919,0,512x512,8,4,8x8,1,40,1024,{}
random,44,6,random,16065637.00469644,7362470.008665147,1439798738.1236033,224.8973879603446,,2.925161838531494,0,256x256,6,1,4x4,2,40,512,{}
random,44,7,random,39985507.6013046,14010691.921595788,1624323961.586589,155.26274515759715,,3.812467098236084,0,256x256,7,4,8x8,2,10,512,{}
random,44,8,random,4159425.053915906,2911707.225850988,1390358360.9669135,220.3439992775082,,2.7420599460601807,0,256x256,6,2,2x2,2,80,512,{}
random,44,9,random,25945608.200170036,5586894.207144911,2062454952.496916,49.402941024941065,,2.7868008613586426,0,512x512,7,4,8x8,3,80,1024,{}
random,44,10,random,43604317.714852326,19111511.34162109,1887839826.6745892,246.8972587575972,,3.3797969818115234,0,256x256,6,1,8x8,0,10,512,{}
random,44,11,random,12370527.014071278,2693906.9441276425,1152740818.1236033,26.90026133634462,,2.501390218734741,0,256x256,8,1,4x4,3,40,512,{}
random,44,12,random,4408851.203493901,4448843.521209404,1390330993.5429137,219.72218327750815,,2.8457579612731934,0,256x256,6,1,2x2,3,80,2048,{}
random,44,13,random,46092078.81423927,17253071.6397539,1887877903.090589,247.58197395759717,,3.5902960300445557,0,256x256,6,2,8x8,3,10,2048,{}
random,44,14,random,5949074.663010603,1084841.5460518848,884941383.1245514,36.10522648678249,,1.9805920124053955,0,512x512,7,1,2x2,2,10,512,{}
random,44,15,random,39410091.90501551,14010691.921595788,1624323961.586589,155.26274515759715,,3.2634329795837402,0,256x256,7,4,8x8,1,10,2048,{}
random,44,16,random,14459505.782541726,1698550.3279874078,1004164538.11784,8.718316719206628,,2.3642537593841553,0,512x512,8,1,4x4,2,10,512,{}
random,44,17,random,16194489.92204522,2856008.628690927,1213695508.22984,66.08759987120662,,1.7927982807159424,0,512x512,6,4,4x4,2,40,1024,{}
random,44,18,random,14104054.326732598,1693418.1621167667,1004227772.16584,9.946910319206626,,2.1247470378875732,0,512x512,8,3,4x4,3,20,1024,{}
random,44,19,random,4642292.343954902,1679778.188230988,1200764760.9669135,133.09151927750816,,2.5039360523223877,0,256x256,7,2,2x2,0,40,2048,{}
random,44,20,random,4507475.48298269,1035970.5633224761,893349238.2285513,60.20395128678248,,1.717642068862915,0,512x512,4,3,2x2,2,80,512,{}
random,44,21,random,4408851.203493901,4448843.521209404,1213926513.5429137,219.72218327750815,,2.447492837905884,0,256x256,4,1,2x2,3,80,2048,{}
random,44,22,random,26165544.87126388,5586894.207144911,2062454952.496916,49.402941024941065,,2.577928066253662,0,512x512,7,4,8x8,1,20,512,{}
random,44,23,random,15845814.325560633,2837962.093420527,1213611196.1658404,64.44947507120662,,2.067725896835327,0,512x512,6,3,4x4,1,80,2048,{}
random,44,24,random,34052773.249742076,11148534.397241248,1509865337.586589,35.008845925597164,,3.323132038116455,0,256x256,8,4,8x8,2,10,512,{}
random,44,25,random,42165595.32333396,17253071.6397539,1887877903.090589,247.58197395759717,,3.345627784729004,0,256x256,6,2,8x8,2,80,2048,{}
random,44,26,random,28962263.2426013,6853831.857660688,2344834175.536916,75.36158742494106,,2.6054279804229736,0,512x512,6,2,8x8,2,20,2048,{}
random,44,27,random,43917020.58763278,16326480.400301907,1887954055.922589,248.95140435759717,,3.7638509273529053,0,256x256,6,3,8x8,2,10,1024,{}
random,44,28,random,4075756.733912071,2145356.7062805803,1214008615.8149135,221.58763127750822,,2.566225051879883,0,256x256,4,3,2x2,2,80,512,{}
random,44,29,random,28759822.92502338,6853831.857660688,2081870975.5369163,75.36158742494106,,2.640688896179199,0,512x512,4,2,8x8,3,80,512,{}
random,44,30,random,13548512.037242616,2684600.1489854166,1152827509.9636033,28.789296536344615,,2.5222527980804443,0,256x256,8,3,4x4,3,20,1024,{}
random,44,31,random,28886235.105638716,6494229.481494131,2344915767.856916,76.27499862494106,,3.2898058891296387,0,512x512,6,3,8x8,2,20,512,{}
random,44,32,random,17307565.52552402,4946578.093523305,1440001019.0836034,229.3051367603446,,3.001944065093994,0,256x256,6,4,4x4,3,20,512,{}
random,44,33,random,46040361.32217681,16326480.400301907,1887954055.922589,248.95140435759717,,4.2598888874053955,0,256x256,6,3,8x8,3,10,1024,{}
random,44,34,random,38639552.7050165,13994336.11682139,1624171655.9225888,152.52388435759715,,3.914803981781006,0,256x256,7,3,8x8,1,20,2048,{}
