algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
mobo,43,1,init,42667369.723333344,17253071.6397539,1642445583.090589,247.58197395759717,,3.0324668884277344,0,256x256,4,2,8x8,0,20,2048,{}
mobo,43,2,init,3968185.9070545863,431701.84715030564,832839169.4925516,7.8445101187824875,,1.7162420749664307,1,512x512,8,2,2x2,1,40,512,{}
mobo,43,3,init,5965777.132936206,431701.84715030564,832839169.4925516,7.8445101187824875,,2.2514238357543945,0,512x512,8,2,2x2,1,10,512,{}
mobo,43,4,init,15239384.325523555,4946578.093523305,1440001019.0836034,229.3051367603446,,2.3294360637664795,0,256x256,6,4,4x4,2,80,512,{}
mobo,43,5,init,15461873.432555325,4931765.080326505,1253619829.9636033,226.78642316034464,,2.0219969749450684,0,256x256,4,3,4x4,1,40,1024,{}
mobo,43,6,init,22542530.04611693,4430544.468251009,1939575935.5369165,10.872590416941065,,2.035489082336426,0,512x512,8,2,8x8,0,10,2048,{}
mobo,43,7,mobo,3394881.9586033407,708737.872341068,1118497624.9669137,24.27973050950817,,2.102982997894287,1,256x256,8,2,2x2,1,80,512,"{""parego_weight"": [0.10146755505424161, 0.7796833546625648, 0.11884909028319378]}"
mobo,43,8,mobo,8789767.693923542,4448843.521209404,1213926513.5429137,219.72218327750815,,2.160823106765747,0,256x256,4,1,2x2,0,10,512,"{""parego_weight"": [0.10458801662918933, 0.1505725132918996, 0.744839470078911]}"
mobo,43,9,mobo,4178560.4480218776,728585.5932356762,885062751.7005514,38.75179768678249,,1.8420698642730713,0,512x512,7,4,2x2,3,80,2048,"{""parego_weight"": [0.5756756997581648, 0.4088717630523877, 0.01545253718944761]}"
mobo,43,10,mobo,3560088.087670309,446724.43596553215,832943199.7005515,10.112999718782488,,1.4623219966888428,0,512x512,8,4,2x2,3,80,512,"{""parego_weight"": [0.38407181920960853, 0.14582690420819222, 0.4701012765821994]}"
mobo,43,11,mobo,18351447.78371361,3849696.154141408,1077683642.1178398,63.220881471206624,,1.561445713043213,0,512x512,4,1,4x4,0,10,2048,"{""parego_weight"": [0.12404019247423594, 0.024743869014266888, 0.8512159385114973]}"
mobo,43,12,mobo,4763143.341135587,1920521.5611562848,893297223.1245514,59.06970648678248,,1.5693559646606445,0,512x512,4,1,2x2,2,80,512,"{""parego_weight"": [0.2174099783467513, 0.45189132577342755, 0.3306986958798211]}"
mobo,43,13,mobo,3587927.487670185,431721.2155879321,832873846.2285514,8.600673318782485,,1.4279541969299316,1,512x512,8,3,2x2,0,80,512,"{""parego_weight"": [0.020864601002454897, 0.4847111676159217, 0.4944242313816234]}"
mobo,43,14,mobo,3559632.808373434,446724.43596553215,832943199.7005515,10.112999718782488,,1.5592319965362549,0,512x512,8,4,2x2,3,80,1024,"{""parego_weight"": [0.4986050360106883, 0.06823713460712295, 0.4331578293821888]}"
mobo,43,15,mobo,12267774.324388783,1711464.6973871668,1004312084.2298402,11.585035119206628,,1.6686739921569824,0,512x512,8,4,4x4,3,80,512,"{""parego_weight"": [0.33078818193501813, 0.6209502654613598, 0.04826155260362201]}"
mobo,43,16,mobo,14412601.528833732,2699413.1621822165,1152943099.0836034,31.308010136344617,,2.022722005844116,0,256x256,8,4,4x4,0,10,2048,"{""parego_weight"": [0.77556496490572, 0.12067619532121032, 0.10375883977306974]}"
mobo,43,17,mobo,4411678.893923588,4448843.521209404,1213926513.5429137,219.72218327750815,,1.7912161350250244,0,256x256,4,1,2x2,3,80,512,"{""parego_weight"": [0.003585918537350191, 0.5463266187557452, 0.4500874627069047]}"
mobo,43,18,mobo,20703527.383714188,3849696.154141408,1077683642.1178398,63.220881471206624,,1.4300508499145508,0,512x512,4,1,4x4,3,10,2048,"{""parego_weight"": [0.13990431343287923, 0.5291258415248342, 0.3309698450422865]}"
mobo,43,19,mobo,3707253.0268778484,436485.5739678527,832821831.1245515,7.466428518782486,,0.9823627471923828,1,512x512,8,1,2x2,3,80,2048,"{""parego_weight"": [0.7381453103772335, 0.22820872006640144, 0.03364596955636511]}"
mobo,43,20,mobo,12120652.982541984,1698550.3279874078,1004164538.11784,8.718316719206628,,1.142327070236206,0,512x512,8,1,4x4,0,80,512,"{""parego_weight"": [0.05267036733630216, 0.8071999672872039, 0.14012966537649393]}"
mobo,43,21,mobo,3489369.368724886,446724.43596553215,832943199.7005515,10.112999718782488,,1.1032729148864746,1,512x512,8,4,2x2,2,80,2048,"{""parego_weight"": [0.48738690950297403, 0.2714331398230468, 0.24117995067397924]}"
mobo,43,22,mobo,3391226.3850737717,721046.8869365482,1118661829.5109136,28.010626509508167,,1.2152409553527832,1,256x256,8,4,2x2,0,80,2048,"{""parego_weight"": [0.1141189353130819, 0.8038217297563185, 0.08205933493059955]}"
mobo,43,23,mobo,7198524.867722532,1920521.5611562848,1005056583.1245512,59.06970648678248,,1.448796033859253,0,512x512,6,1,2x2,0,10,512,"{""parego_weight"": [0.07514277131099847, 0.7318835257643346, 0.19297370292466703]}"
mobo,43,24,mobo,28679392.305638913,6511346.114991731,2082115752.496916,78.10182102494106,,2.023658037185669,0,512x512,4,4,8x8,3,80,512,"{""parego_weight"": [0.3033757944792844, 0.42371224817182085, 0.27291195734889473]}"
