variation_pct,model,trial,accuracy,elapsed_s
10.0,mnsim_sym,0,0.9453125,142.3
10.0,mnsim_sym,1,0.9375,144.1
10.0,sym_10,0,0.9375,140.9
10.0,sym_10,1,0.9375,142.1
10.0,asym_10,0,0.91015625,142.1
10.0,asym_10,1,0.94140625,146.1
20.0,mnsim_sym,0,0.94140625,144.1
20.0,mnsim_sym,1,0.94140625,150.2
20.0,sym_20,0,0.88671875,143.9
20.0,sym_20,1,0.921875,138.5
20.0,asym_20,0,0.11328125,141.5
20.0,asym_20,1,0.09375,138.2
30.0,mnsim_sym,0,0.9375,137.4
30.0,mnsim_sym,1,0.9453125,138.0
30.0,sym_30,0,0.640625,144.7
30.0,sym_30,1,0.546875,140.4
30.0,asym_30,0,0.08984375,134.9
30.0,asym_30,1,0.09375,136.7
