YEAR,ID,ARCHITECTURE,TECHNOLOGY,VENUE,ENOB,FS_HZ,P_W,P_W_PRED,AREA_MM2,AREA_UM2_PRED,FOMW_DERIVED_FJ,FOMA_DERIVED_UM2
1997,8.1,SAR,1,ISSCC,9.1,200000.0,0.011999999999999999,2.194992051274328e-06,2.155,21949920.51274328,109339.80369571963,0.7854242565475861
1997,8.2,Folding,1.00 BiCMOS,ISSCC,10.338870431893689,50000000.0,0.3,0.0012951203316912106,7.0,207219.2530705937,4632.774154788383,270.2451590293224
1997,8.3,Folding,0.5,ISSCC,8.6,50000000.0,0.17,0.00038802344102666184,1.0,62083.75056426589,8762.357219976253,128.8581944114155
1997,8.4,Two-step,Bipolar,ISSCC,9.408637873754154,128000000.0,5.7,0.0017398915689887562,,42477.82150851456,65521.32445026906,
1997,8.8,Pipe,1.4,ISSCC,13.81063122923588,5000000.0,0.13,0.001436859352209668,27.28,22989749.635354687,1809.5020894018621,9.492926345938999
1998,9.1,Pipe,0.7,ISSCC,10.571428571428573,20000000.0,0.25,0.0006086632608304946,9.0,608663.2608304947,8214.722855422087,118.29200911807806
1998,9.2,"Pipe, TI",1,ISSCC,8.843853820598008,40000000.0,0.565,0.0003675828699583183,22.0,91895.71748957956,30741.367249462288,1915.2143843912788
1998,9.3,"Pipe, TI",1,ISSCC,9.3421926910299,40000000.0,0.65,0.0005192424761036671,42.0,129810.61902591678,25036.472550455488,2588.386085216321
1998,9.4,Pipe,0.5,ISSCC,10.837209302325581,10000000.0,0.265,0.0003658938121658401,14.5,1463575.2486633605,14485.07688235458,79.25796784684582
1998,9.5,"Pipe, TI",0.5,ISSCC,6.900332225913622,75000000.0,0.07,0.00017918359228282236,5.5,12741.944340111813,7813.215385202501,3453.1621568528913
1998,9.6,Flash,0.35 BiCMOS,ISSCC,4.857142857142858,350000000.0,0.225,0.00020288210079511516,0.75,662.4721658616005,22180.369694339974,9056.98429185549
1998,9.7,Folding,0.50 BiCMOS,ISSCC,4.558139534883721,400000000.0,0.2,0.00018846326530597873,0.6,471.1581632649468,21224.295320925365,10187.661754044177
1999,18.1,Algorithmic,1.5,ISSCC,11.501661129568106,125000.0,0.016,7.249115320106593e-06,5.94,185577352.19472876,44143.31761455475,0.2560657291313039
1999,18.2,Two-Step,0.35,ISSCC,7.8,25000000.0,0.195,0.00011143047210190387,0.8,71315.50214521847,34999.40300381591,89.74205898414338
1999,18.3,Folding,0.60 BiCMOS,ISSCC,8.7,40000000.0,0.065,0.0003326985815475139,0.8,83174.64538687847,3907.4407650107223,76.94652583405731
1999,18.4,Two-Step,0.5,ISSCC,9.458471760797345,20000000.0,0.075,0.00028141270742396596,1.6,281412.70742396597,5330.249702406492,45.484797460535404
1999,18.5,Flash,0.4,ISSCC,5.5,500000000.0,0.4,0.00045254833995939044,2.4,724.0773439350247,17677.66952966369,26516.50429449553
1999,18.6,Flash,0.6,ISSCC,4.275747508305648,500000000.0,0.33,0.0001936993903785117,5.25,309.9190246056187,34073.41647850731,135519.27008497226
2000,2.1,Folding,Bipolar,ISSCC,12.16611295681063,100000000.0,1.25,0.009191680633354666,261.0,367667.22533418663,2719.8508082711537,5679.048487670169
2000,2.2,Folding,0.5,ISSCC,10.67109634551495,40000000.0,0.8,0.0013043978479346308,8.7,326099.4619836577,12266.196257019456,213.43181487213852
